Feature,P (Exposure)
Renewal Resilience,1.4778532915104067e-44
Nonrenewal Rate,1.4778532915104067e-44
New and Renewed to Nonrenewed Ratio,7.515911568904704e-30
New and Renewed to Total Units Ratio,2.1537350555198873e-22
Premium to Exposure Ratio,3.3935316725966746e-11
New and Renewed to Nonrenewed and Income Growth Product,5.611252239730252e-09
Housing Value to Log Median Income Ratio,0.000186031489953007
Change in Nonrenewed to Income Growth Ratio,0.0003573932629022399
Log of Average Median Income,0.004715976569824201
Housing Value to Median Income Ratio,0.04659516984889476
Losses to Owner Nonrenewed Ratio,0.11082719713507991
Losses to Company Nonrenewed Ratio,0.3461781922825659
Fire Smoke Claims to Total Units Ratio,0.36115383483819696
Losses to Premium Ratio,0.40496945275019625
Loss Burden per Exposure,0.4170450288943849
Loss Burden per Unit,0.4170450288943849
Change in Renewed to Income Growth Ratio,0.5670501991878523
Premium Adequacy,0.6624923090336815
Growth in Losses to Fire Disasters 10yr Ratio,0.6791093676782404
Growth in Losses to All Disasters 10yr Ratio,0.7118130967997599
Growth in Losses to All Disasters 3yr Ratio,0.7147877547364756
Growth in Losses to Fire Disasters 3yr Ratio,0.7328379512513921
Growth in Losses to Fire Disasters 5yr Ratio,0.7450975719713497
Growth in Losses to All Disasters 5yr Ratio,0.7454746561755874
New and Renewed to Nonrenewed and Income Growth Ratio,0.9362997795406932
