Feature,P (FAIR)
New and Renewed to Total Units Ratio,9.523492103439161e-53
Nonrenewal Rate,7.53520139205405e-45
Renewal Resilience,7.53520139205405e-45
New and Renewed to Nonrenewed Ratio,3.521967808329805e-26
New and Renewed to Nonrenewed and Income Growth Product,0.00042309194166181873
Change in Nonrenewed to Income Growth Ratio,0.004930028656868639
Log of Average Median Income,0.006144210254251127
Premium Adequacy,0.08135006952246202
Premium to Exposure Ratio,0.12429858311958449
Housing Value to Median Income Ratio,0.2308712626272088
Housing Value to Log Median Income Ratio,0.253091433506315
Losses to Owner Nonrenewed Ratio,0.31511724122336005
Losses to Premium Ratio,0.47444766085334517
Fire Smoke Claims to Total Units Ratio,0.4841259766618682
Loss Burden per Exposure,0.5546434929319174
Loss Burden per Unit,0.5546434929319174
Growth in Losses to Fire Disasters 10yr Ratio,0.7203119672890217
Losses to Company Nonrenewed Ratio,0.7567817954902245
Growth in Losses to All Disasters 10yr Ratio,0.7652150079242853
Growth in Losses to All Disasters 3yr Ratio,0.7730799680328356
New and Renewed to Nonrenewed and Income Growth Ratio,0.7743034651155613
Growth in Losses to Fire Disasters 3yr Ratio,0.7900730711384579
Growth in Losses to Fire Disasters 5yr Ratio,0.8035773685013133
Change in Renewed to Income Growth Ratio,0.8094466385109758
Growth in Losses to All Disasters 5yr Ratio,0.8102865335144204
