Feature,Corr (FAIR),P (FAIR),Corr (% FAIR),P (% FAIR),Corr (Exposure),P (Exposure)
% Market Units,-0.6862759361831099,5.4163942584727553e-163,-1.0,0.0,-0.6207529239178865,4.668269026628668e-125
% Nonrenewed Policies (by Company),0.5631318796385665,1.949089721858617e-98,0.8122033124733277,1.8032412481071658e-274,0.5371009513287043,4.850689249266955e-88
% Change - Earned Premiums,0.4057572675921646,2.1319452931437184e-47,0.6596960864400274,1.8900425877305036e-146,0.4002374892745102,4.7431575451963735e-46
% Change - Nonrenewed Policies,0.405410868101061,2.5946326772806415e-47,0.631098387027847,1.9235241609006806e-130,0.427382820070429,6.309592055092241e-53
Nonrenewal Rate,0.395227397843113,7.53520139205405e-45,0.5804758505333127,6.805511267511061e-106,0.39399390557564895,1.4778532915104067e-44
Renewal Resilience,-0.39522739784311295,7.53520139205405e-45,-0.5804758505333127,6.805511267511061e-106,-0.39399390557564895,1.4778532915104067e-44
% Change - Nonrenewed Policies (by Company),0.4263002062840731,1.2203730630041086e-52,0.5662670195960122,9.431191640584176e-100,0.46840791634630513,1.3879791214589688e-64
New and Renewed to Total Units Ratio,-0.42670763981946325,9.523492103439161e-53,-0.515749749171453,3.619175463730533e-80,-0.27977969223928845,2.1537350555198873e-22
New and Renewed to Nonrenewed Ratio,-0.3031015248296822,3.521967808329805e-26,-0.4633557807199403,4.628560794372395e-63,-0.32384397561655176,7.515911568904704e-30
% Change - Nonrenewed Policies (by Owner),0.18990316955391218,6.387185758380914e-11,0.35213445857370196,2.433731245185057e-35,0.19103685778961216,4.894005901994547e-11
Voluntary Market Units,-0.03622133358855645,0.21668603771581893,-0.3291820185997142,7.648882116589109e-31,-0.045869805200684816,0.11763554223598778
Renewed Policies,-0.002774167250868778,0.9246431310627157,-0.3033072349116235,3.249401625596894e-26,-0.0031469686869444163,0.914552890455361
Expiring Policies,0.013032920299446452,0.6567662580906752,-0.29085456155710987,3.7947174706910355e-24,0.013854360326952163,0.6366460133374356
Housing Units,0.02707772122242416,0.355800586234336,-0.2856129213853946,2.625183330140448e-23,-0.017872961598045793,0.5422358461206797
% Change - New Policies,0.11865518090842529,4.908265690219249e-05,0.2819785062528508,9.799503308971938e-23,0.18659998306983577,1.374722273918887e-10
% Change - Renewed Policies,-0.11324336692451559,0.00010726115020243002,-0.26483139635536534,3.778061535758151e-20,-0.16716523475509587,9.46711826015924e-09
Total Res Units,0.06444196049416842,0.02784491651558253,-0.2596660868896914,2.0909414238075779e-19,0.04272738788389958,0.14498520516243416
Avg % White-only Pop,0.07506449334371153,0.010377960716858991,0.2273171368502405,4.04534913650309e-15,0.1306547906163597,7.67966204480605e-06
