ZIP Code,Nonrenewed Policies (by Company),% Market Units,New Policies,Total Res Units,% Change - Expiring Policies,Nonrenewed Policies (by Owner),Renewed Policies,% Change - Nonrenewed Policies (by Owner),% Nonrenewed Policies (by Company),% Change - Earned Premiums,Housing Units,% Change - Renewed Policies,Voluntary Market Units,% Change - Nonrenewed Policies (by Company),% Change Median Income,% Change - New Policies,Earned Premium ($),% Nonrenewed Policies (by Owner),% Change - Zillow Home Value,Avg % White-only Pop,Avg Median Income,Fire Disasters 5y,% Change White-only Pop,Fire Disasters 10y,Median Gross Rent ($),Claims (Fire and Smoke),% Change - Losses (Fire and Smoke),Losses (Fire and Smoke) ($),Median Owner Cost ($),All Disasters 10y,% Change - Claims (Fire and Smoke),Zillow Home Value 2018 ($),Zillow Mean Home Value ($),Zillow Home Value 2020 ($),Zillow Home Value 2019 ($),Median Home Value - Census ($),Zillow Home Value 2021 ($),All Disasters 5y,All Disasters 1y,All Disasters 3y,Fire Disasters 1y,Fire Disasters 3y
90001,1073.0,0.7666629699456582,3162.0,9017.0,0.0410441635199474,1780.0,22127.0,0.0583756345177663,0.0429543634907926,0.4604041156339429,14010.0,0.0206317327003833,6913.0,0.5181818181818181,0.7036174985978687,0.3111782477341389,15005153.0,0.0712570056044835,0.2619993006772694,45.85714285714285,48115.28571428572,2.0,-16.4,3.0,1262.0,126.0,-0.3527039017981984,4157573.0,427.0,3.0,0.2833333333333332,427729.2684,475901.735525,487937.2712,448146.3649,425200.0,539794.0376,2.0,0.0,2.0,0.0,2.0
90002,1022.0,0.8308748728382502,3448.0,7864.0,0.068268434134217,2091.0,21908.0,0.1326315789473684,0.0408456896207186,0.2661158291087737,13577.0,0.044131455399061,6534.0,0.4851063829787234,0.6517058823529411,0.1076555023923444,15336299.0,0.0835698013668518,0.3036880631175744,45.85714285714285,43639.71428571428,2.0,-16.4,3.0,1287.0,95.0,-0.595781204538842,3793822.0,465.0,3.0,-0.3571428571428572,414203.242,467336.64600000007,479629.5851,435521.9346,411500.0,539991.8223,2.0,0.0,2.0,0.0,2.0
90003,1304.0,0.8184037558685446,4525.0,10650.0,0.0838266953713671,2667.0,26933.0,0.2099173553719009,0.0421951850893088,0.3045148169681706,18501.0,0.0579198033492087,8716.0,0.3742138364779874,0.5926098206238917,0.1526861451460885,20549601.0,0.0862995081542842,0.2814024906717642,45.85714285714285,44032.857142857145,2.0,-16.4,3.0,1293.0,133.0,0.9901144215207992,4313440.0,555.0,3.0,1.333333333333333,441528.9545,493118.89975,504402.5388,460767.8037,430800.0,565776.302,2.0,0.0,2.0,0.0,2.0
90004,434.0,0.904899135446686,2182.0,5205.0,0.0142501696448766,1704.0,15683.0,0.1974683544303797,0.0243532910611076,0.3434162878057423,25100.0,-0.006382435537401,4710.0,0.0917431192660549,0.3450763186707026,0.1578947368421053,39605615.0,0.095617529880478,0.1533974433481875,45.85714285714285,53401.0,2.0,-16.4,3.0,1530.0,48.0,0.7257641120883049,3316605.0,829.0,3.0,-0.0833333333333333,1268164.943,1329224.70025,1343222.973,1242812.682,1148400.0,1462698.203,2.0,0.0,2.0,0.0,2.0
90005,125.0,0.9087591240875912,521.0,1096.0,0.0157068062827225,384.0,3357.0,0.2045454545454545,0.0323331608898085,0.3831515654918678,18128.0,0.001199040767386,996.0,-0.1212121212121212,0.6251809864144666,0.016,13665743.0,0.0993274702534919,0.1136295489939895,45.85714285714285,42199.0,2.0,-16.4,3.0,1413.0,16.0,10.78806290733085,885674.0,1123.0,3.0,-0.1428571428571429,908565.9867,934656.434475,932504.9605,885748.8607,964700.0,1011805.93,2.0,0.0,2.0,0.0,2.0
90006,339.0,0.7418159357628166,1224.0,3238.0,0.0908130939809925,750.0,6790.0,0.1988950276243093,0.0430257646909506,0.3489097222584114,20912.0,0.0438489646772228,2402.0,0.9014084507042252,0.4751997632435631,0.3133802816901407,10671112.0,0.0951897448914836,0.1632124792087796,45.85714285714285,40308.857142857145,2.0,-16.4,3.0,1234.0,41.0,18.936829456698995,3312606.0,664.0,3.0,0.1666666666666667,712936.2636,752198.5666,756763.5455,709798.0986,716900.0,829296.3587,2.0,0.0,2.0,0.0,2.0
90007,268.0,0.7649338069099129,1143.0,3097.0,0.1236951983298537,723.0,7147.0,0.7593984962406015,0.0329319243057262,0.3985644678129278,13513.0,0.0549768518518518,2369.0,0.7454545454545454,0.5618552232336368,0.3811475409836065,10749071.0,0.0888424674367166,0.2657389500785834,45.85714285714285,30258.85714285714,2.0,-16.4,3.0,1252.0,33.0,0.4733003199353329,1399265.0,676.0,3.0,-0.1428571428571429,717497.2564,799218.0227,826046.7618,745163.8486,717300.0,908164.224,2.0,0.0,2.0,0.0,2.0
90008,375.0,0.9513750498206456,2012.0,5018.0,0.0226141078838173,1528.0,17624.0,0.1005586592178771,0.0192041788293132,0.5302440387599885,15900.0,0.013516609392898,4774.0,0.1443298969072164,0.6872356103818127,0.1169102296450939,26759003.0,0.0782506273365084,0.3225889135850766,45.85714285714285,48031.857142857145,2.0,-16.4,3.0,1377.0,83.0,-0.5717398470207459,6279337.0,525.0,3.0,-0.3933333333333334,823965.9911,926504.14545,943412.1431,848870.1626,781600.0,1089768.285,2.0,0.0,2.0,0.0,2.0
90011,1550.0,0.7544350386455649,5015.0,13585.0,0.0778565421122192,2892.0,30290.0,0.2758064516129033,0.0446274329148911,0.2763099313781885,25531.0,0.0393220338983051,10249.0,0.5701219512195121,0.5900248344370861,0.2742214532871971,24815880.0,0.0832661522515259,0.2649856666779269,45.85714285714285,44151.42857142857,2.0,-16.4,3.0,1307.0,134.0,5.142057787355951,5187047.0,605.0,3.0,1.0,443282.5808,492565.30845,506920.126,459312.416,452100.0,560746.111,2.0,0.0,2.0,0.0,2.0
90012,54.0,0.9048140043763676,296.0,914.0,0.0354706684856753,225.0,2660.0,0.0517241379310344,0.0183735964613814,0.3280599389648502,15751.0,0.0303951367781154,827.0,0.1764705882352941,0.7437993090290311,0.6842105263157894,8739469.0,0.0765566519224225,0.1020416980051359,45.85714285714285,51050.0,2.0,-16.4,3.0,1859.0,18.0,-0.9060369712822042,485369.0,662.0,3.0,-0.5,608685.8668,629062.5305,628377.0604,608389.9886,633000.0,670797.2062,2.0,0.0,2.0,0.0,2.0
