Feature,P (FAIR)
New and Renewed to Total Units Ratio,4.7835540867533403e-94
Housing Value to Median Income Ratio,9.95987606781331e-13
Log of Average Median Income,1.1766959624912054e-08
Premium Adequacy,0.0038361479120175715
Nonrenewal Rate,0.006642676802055221
Renewal Resilience,0.006642676802055221
Renewed to Nonrenewed Ratio,0.013893866388469614
New and Renewed to Nonrenewed Ratio,0.01713896228773827
New and Renewed to Nonrenewed and Income Growth Product,0.038394413514465854
Premium to Exposure Ratio,0.062438214869405234
New and Renewed to Nonrenewed and Income Growth Ratio,0.18751376593299818
Losses to Premium Ratio,0.3445688046598729
Losses to Owner Nonrenewed Ratio,0.3593716864563327
Growth in Losses to Fire Disasters 5yr Ratio,0.36974664762655357
Change in Renewed to Income Growth Ratio,0.37563977196510184
Growth in Losses to Fire Disasters 10yr Ratio,0.37580402505703514
Growth in Losses to Fire Disasters 3yr Ratio,0.3941430145819717
Loss Burden per Unit,0.5370985230844525
Loss Burden per Exposure,0.5370985230844525
Growth in Losses to All Disasters 10yr Ratio,0.5832689390861053
Growth in Losses to All Disasters 3yr Ratio,0.5977466089725199
Growth in Losses to All Disasters 5yr Ratio,0.6423442696184534
Fire Smoke Claims to Total Units Ratio,0.7139773087198885
Change in Nonrenewed to Income Growth Ratio,0.7534543570306443
Losses to Company Nonrenewed Ratio,0.9552052350186278
Housing Value to Log Median Income Ratio,0.9807110200399419
