Feature,P (% FAIR)
New and Renewed to Total Units Ratio,5.678922516153708e-88
Log of Average Median Income,5.901167274597765e-14
Renewal Resilience,1.8321444244842396e-12
Nonrenewal Rate,1.8321444244842396e-12
Housing Value to Median Income Ratio,2.8633634330114676e-12
New and Renewed to Nonrenewed Ratio,3.925846767709412e-10
Growth in Losses to All Disasters 5yr Ratio,4.162651651984697e-06
Growth in Losses to All Disasters 3yr Ratio,7.062135982608171e-06
Growth in Losses to All Disasters 10yr Ratio,1.1233491448068043e-05
Growth in Losses to Fire Disasters 3yr Ratio,0.0004265495701122212
Growth in Losses to Fire Disasters 10yr Ratio,0.0005251113042960395
Growth in Losses to Fire Disasters 5yr Ratio,0.0005651410019414404
Losses to Owner Nonrenewed Ratio,0.001053451225124065
Losses to Premium Ratio,0.006460902660475701
Loss Burden per Exposure,0.009845131373069306
Loss Burden per Unit,0.009845131373069306
Fire Smoke Claims to Total Units Ratio,0.011263008070652216
Premium to Exposure Ratio,0.013559405113897426
New and Renewed to Nonrenewed and Income Growth Product,0.05035040793067307
Change in Renewed to Income Growth Ratio,0.0536318456226156
Housing Value to Log Median Income Ratio,0.24219189331286992
Losses to Company Nonrenewed Ratio,0.24324843109001631
Change in Nonrenewed to Income Growth Ratio,0.3247062300067771
Premium Adequacy,0.530877854233102
New and Renewed to Nonrenewed and Income Growth Ratio,0.8744397771161795
