ZIP Code,% Market Units,% Change - Nonrenewed Policies (by Company),% Change - Earned Premiums,% Change - Zillow Home Value,% Change - New Policies,Median Owner Cost ($),% Change White-only Pop,% Change - Claims (Fire and Smoke),Zillow Home Value 2020 ($),% Change Median Income,% Change - Owner Cost ($),% Nonrenewed Policies,% Nonrenewed Policies (by Company),Median Gross Rent ($),Earned Premium ($),Median Home Value - Census ($),% Change - Renewed Policies,Median Owner Cost ($) - 2019,All Disasters 10y,Total Res Units,% Change - Nonrenewed Policies (by Owner),Avg % White-only Pop,% Change - Losses (Fire and Smoke),Avg Median Income,All Disasters 5y,Housing Units,Zillow Home Value 2021 ($),Voluntary Market Units,Zillow Home Value 2019 ($),% Nonrenewed Policies (by Owner),Zillow Mean Home Value ($),% Change - Expiring Policies,All Disasters 1y,Losses (Fire and Smoke) ($),Zillow Home Value 2018 ($),Fire Disasters 5y,Fire Disasters 10y,All Disasters 3y,Fire Disasters 3y,Fire Disasters 1y
90001,0.7666629699456582,0.5181818181818181,0.4604041156339429,0.2619993006772694,0.3111782477341389,427.0,-16.4,0.2833333333333332,487937.2712,0.7036174985978687,0.0837563451776649,0.1142113690952762,0.0429543634907926,1262.0,15005153.0,425200.0,0.0206317327003833,394.0,3.0,9017.0,0.0583756345177663,45.85714285714285,-0.3527039017981984,48115.28571428572,2.0,14010.0,539794.0376,6913.0,448146.3649,0.0712570056044835,475901.735525,0.0410441635199474,0.0,4157573.0,427729.2684,2.0,3.0,2.0,2.0,0.0
90002,0.8308748728382502,0.4851063829787234,0.2661158291087737,0.3036880631175744,0.1076555023923444,465.0,-16.4,-0.3571428571428572,479629.5851,0.6517058823529411,0.1596009975062344,0.1244154909875704,0.0408456896207186,1287.0,15336299.0,411500.0,0.044131455399061,401.0,3.0,7864.0,0.1326315789473684,45.85714285714285,-0.595781204538842,43639.71428571428,2.0,13577.0,539991.8223,6534.0,435521.9346,0.0835698013668518,467336.64600000007,0.068268434134217,0.0,3793822.0,414203.242,2.0,3.0,2.0,2.0,0.0
90003,0.8184037558685446,0.3742138364779874,0.3045148169681706,0.2814024906717642,0.1526861451460885,555.0,-16.4,1.333333333333333,504402.5388,0.5926098206238917,0.1349693251533742,0.128494693243593,0.0421951850893088,1293.0,20549601.0,430800.0,0.0579198033492087,489.0,3.0,10650.0,0.2099173553719009,45.85714285714285,0.9901144215207992,44032.857142857145,2.0,18501.0,565776.302,8716.0,460767.8037,0.0862995081542842,493118.89975,0.0838266953713671,0.0,4313440.0,441528.9545,2.0,3.0,2.0,2.0,0.0
90004,0.904899135446686,0.0917431192660549,0.3434162878057423,0.1533974433481875,0.1578947368421053,829.0,-16.4,-0.0833333333333333,1343222.973,0.3450763186707026,0.0614596670934699,0.1199708209415857,0.0243532910611076,1530.0,39605615.0,1148400.0,-0.006382435537401,781.0,3.0,5205.0,0.1974683544303797,45.85714285714285,0.7257641120883049,53401.0,2.0,25100.0,1462698.203,4710.0,1242812.682,0.095617529880478,1329224.70025,0.0142501696448766,0.0,3316605.0,1268164.943,2.0,3.0,2.0,2.0,0.0
90005,0.9087591240875912,-0.1212121212121212,0.3831515654918678,0.1136295489939895,0.016,1123.0,-16.4,-0.1428571428571429,932504.9605,0.6251809864144666,0.3149882903981265,0.1316606311433005,0.0323331608898085,1413.0,13665743.0,964700.0,0.001199040767386,854.0,3.0,1096.0,0.2045454545454545,45.85714285714285,10.78806290733085,42199.0,2.0,18128.0,1011805.93,996.0,885748.8607,0.0993274702534919,934656.434475,0.0157068062827225,0.0,885674.0,908565.9867,2.0,3.0,2.0,2.0,0.0
90006,0.7418159357628166,0.9014084507042252,0.3489097222584114,0.1632124792087796,0.3133802816901407,664.0,-16.4,0.1666666666666667,756763.5455,0.4751997632435631,0.131175468483816,0.1382155095824343,0.0430257646909506,1234.0,10671112.0,716900.0,0.0438489646772228,587.0,3.0,3238.0,0.1988950276243093,45.85714285714285,18.936829456698995,40308.857142857145,2.0,20912.0,829296.3587,2402.0,709798.0986,0.0951897448914836,752198.5666,0.0908130939809925,0.0,3312606.0,712936.2636,2.0,3.0,2.0,2.0,0.0
90007,0.7649338069099129,0.7454545454545454,0.3985644678129278,0.2657389500785834,0.3811475409836065,676.0,-16.4,-0.1428571428571429,826046.7618,0.5618552232336368,0.3151750972762646,0.1217743917424428,0.0329319243057262,1252.0,10749071.0,717300.0,0.0549768518518518,514.0,3.0,3097.0,0.7593984962406015,45.85714285714285,0.4733003199353329,30258.85714285714,2.0,13513.0,908164.224,2369.0,745163.8486,0.0888424674367166,799218.0227,0.1236951983298537,0.0,1399265.0,717497.2564,2.0,3.0,2.0,2.0,0.0
90008,0.9513750498206456,0.1443298969072164,0.5302440387599885,0.3225889135850766,0.1169102296450939,525.0,-16.4,-0.3933333333333334,943412.1431,0.6872356103818127,-0.0295748613678373,0.0974548061658216,0.0192041788293132,1377.0,26759003.0,781600.0,0.013516609392898,541.0,3.0,5018.0,0.1005586592178771,45.85714285714285,-0.5717398470207459,48031.857142857145,2.0,15900.0,1089768.285,4774.0,848870.1626,0.0782506273365084,926504.14545,0.0226141078838173,0.0,6279337.0,823965.9911,2.0,3.0,2.0,2.0,0.0
90011,0.7544350386455649,0.5701219512195121,0.2763099313781885,0.2649856666779269,0.2742214532871971,605.0,-16.4,1.0,506920.126,0.5900248344370861,0.1393596986817326,0.1278935851664171,0.0446274329148911,1307.0,24815880.0,452100.0,0.0393220338983051,531.0,3.0,13585.0,0.2758064516129033,45.85714285714285,5.142057787355951,44151.42857142857,2.0,25531.0,560746.111,10249.0,459312.416,0.0832661522515259,492565.30845,0.0778565421122192,0.0,5187047.0,443282.5808,2.0,3.0,2.0,2.0,0.0
90012,0.9048140043763676,0.1764705882352941,0.3280599389648502,0.1020416980051359,0.6842105263157894,662.0,-16.4,-0.5,628377.0604,0.7437993090290311,-0.023598820058997,0.094930248383804,0.0183735964613814,1859.0,8739469.0,633000.0,0.0303951367781154,678.0,3.0,914.0,0.0517241379310344,45.85714285714285,-0.9060369712822042,51050.0,2.0,15751.0,670797.2062,827.0,608389.9886,0.0765566519224225,629062.5305,0.0354706684856753,0.0,485369.0,608685.8668,2.0,3.0,2.0,2.0,0.0
90016,0.905078369905956,0.2331288343558282,0.3079839863025815,0.2832238359903587,0.1539440203562341,599.0,-16.4,-0.45,836701.8252,0.6358676886955321,0.0453752181500872,0.1115114459366015,0.0230738435782654,1436.0,27547927.0,677500.0,0.0300200133422281,573.0,3.0,7975.0,0.1401709401709401,45.85714285714285,-0.5073259336143532,53801.71428571428,2.0,18787.0,946183.5035,7218.0,752640.3767,0.088437602358336,818218.6162,0.0444839857651244,0.0,3213968.0,737348.7594,2.0,3.0,2.0,2.0,0.0
90018,0.8395846852693056,-0.0319148936170212,0.3026232499940888,0.2739189876357206,0.1918767507002801,629.0,-16.4,-0.5,794854.9511,0.7051230550869018,0.15625,0.1160491776042531,0.0287838511380628,1356.0,23537515.0,704300.0,0.0254124786648966,544.0,3.0,7705.0,0.1628865979381444,45.85714285714285,-0.4224213036705886,50381.42857142857,2.0,17654.0,899101.312,6469.0,726408.3681,0.0872653264661904,781535.1312249999,0.0348133198789102,0.0,8322286.0,705775.8937,2.0,3.0,2.0,2.0,0.0
90019,0.8936100847641817,0.4972375690607735,0.3206610237431289,0.1814538408006158,0.2587968217934167,802.0,-16.4,-0.75,1203076.179,0.4089913362672929,0.1295774647887324,0.1196906219787302,0.0256203673864002,1574.0,41664526.0,1033900.0,0.0061746545133785,710.0,3.0,9202.0,0.2730061349693251,45.85714285714285,0.1981896782653351,59568.71428571428,2.0,26015.0,1306062.452,8223.0,1096419.942,0.09407025459233,1177757.286,0.0406024885396201,0.0,5525684.0,1105470.571,2.0,3.0,2.0,2.0,0.0
90020,0.9564676616915424,0.125,0.1315795995348991,0.0975852113347863,0.1235955056179776,813.0,-16.4,-0.7551020408163266,711402.4513,0.3165750937345249,-0.1182212581344902,0.117325618772099,0.0218579234972677,1524.0,18714748.0,650300.0,-0.021897810218978,922.0,3.0,804.0,0.4347826086956521,45.85714285714285,-0.6854433313130592,50050.28571428572,2.0,18786.0,759736.8592,769.0,679339.6403,0.0954676952748312,710667.0900499999,0.0220779220779221,0.0,309661.0,692189.4094,2.0,3.0,2.0,2.0,0.0
90022,0.879677921127276,0.2298387096774192,0.2825237332537513,0.2448622321469795,0.1462829736211031,465.0,-16.4,-0.4,559806.5561,0.6433036146913461,0.1538461538461538,0.088067558675148,0.0270070190831322,1208.0,18683059.0,471000.0,0.0095757575757575,403.0,3.0,10929.0,0.1001926782273603,45.85714285714285,0.298716095845668,53187.28571428572,2.0,18077.0,614412.3009,9614.0,507024.3765,0.0610605395920157,543700.426325,0.0208495064877454,0.0,4163273.0,493558.4718,2.0,3.0,2.0,2.0,0.0
90023,0.7916203777178226,0.626984126984127,0.2842890940993097,0.2633148408723056,0.2828947368421053,540.0,-16.4,-0.1538461538461538,541044.2449,0.4076569297700435,0.2328767123287671,0.1014415090295268,0.0335994855581158,1260.0,10755349.0,479600.0,0.0198451113262343,438.0,3.0,6301.0,0.5060728744939271,45.85714285714285,0.0200777984488631,46904.28571428572,2.0,12343.0,591793.6409,4988.0,481829.6578,0.0678420234714109,520778.1597,0.0634850166481686,0.0,1855132.0,468445.0952,2.0,3.0,2.0,2.0,0.0
90025,0.9816354816354816,-0.108695652173913,0.2868463434229968,0.0698238971693958,0.0764119601328903,1125.0,-16.4,-0.3571428571428572,1085244.337,0.329221348443078,0.1061946902654867,0.0995739704285356,0.0168741124383927,2271.0,31355528.0,905900.0,0.0263752825923135,1017.0,3.0,2886.0,0.3456221198156681,45.85714285714285,3.78224314267705,93718.57142857143,2.0,23418.0,1137796.714,2833.0,1034171.917,0.0826998579901428,1080187.3554999998,0.0479945149125813,0.0,2034242.0,1063536.454,2.0,3.0,2.0,2.0,0.0
90026,0.8911896854854464,0.346938775510204,0.5869979282544902,0.1567679532379373,0.2992036405005689,642.0,-16.4,0.3611111111111109,1162160.572,0.5795333259725443,0.0717863105175292,0.1111272179056013,0.0199466542966485,1497.0,38903243.0,962100.0,0.0137813361333507,599.0,3.0,10238.0,0.3299418604651163,45.85714285714285,0.1077650847113773,69240.85714285714,2.0,27813.0,1263526.727,9124.0,1068219.6,0.0911805636089528,1146549.36725,0.0453039981074048,0.0,4103485.0,1092290.57,2.0,3.0,2.0,2.0,0.0
90027,0.9486862987127492,0.1401869158878503,0.3358861811960671,0.1915518432062268,0.3057553956834533,1049.0,-16.4,-0.2105263157894737,1599732.542,0.551693404634581,0.1947608200455581,0.1108057349640419,0.0211625669918922,1684.0,48118983.0,1287200.0,-0.0143737166324435,878.0,3.0,5671.0,0.2522321428571428,45.85714285714285,-0.0708995169725498,73821.0,2.0,23410.0,1768267.014,5380.0,1451329.051,0.0896431679721496,1575833.0074999998,0.0106912442396314,0.0,2546612.0,1484003.423,2.0,3.0,2.0,2.0,0.0
90028,0.9268897149938042,-0.1785714285714286,0.4270360797552484,0.0786767878564769,0.0560747663551401,773.0,-16.4,3.5,945254.6008,0.4823050813616851,-0.2331349206349206,0.1474147414741474,0.0344701136780344,1612.0,9146045.0,723000.0,0.0297202797202797,1008.0,3.0,807.0,-0.0666666666666666,45.85714285714285,21.294559663360385,49897.57142857143,2.0,21466.0,1017358.769,748.0,911489.3271,0.1129446277961129,954314.276625,0.0086956521739129,0.0,1245193.0,943154.4096,2.0,3.0,2.0,2.0,0.0
90029,0.8684587813620072,0.1904761904761904,0.3475339479150572,0.1800658610498811,0.4746543778801844,674.0,-16.4,-0.3749999999999999,1108180.031,0.6263944995853287,0.0514820592823713,0.1168907071887784,0.0215078901227352,1367.0,9462226.0,898400.0,0.014917421417155,641.0,3.0,2790.0,0.3216374269005848,45.85714285714285,-0.6803659097102741,47441.0,2.0,14787.0,1221969.359,2423.0,1023798.758,0.0953828170660432,1097364.40125,0.0435406698564593,0.0,3220325.0,1035509.457,2.0,3.0,2.0,2.0,0.0
90031,0.8534092812866477,0.5777777777777777,0.5881908630999104,0.2357111753630427,0.3492063492063493,470.0,-16.4,-0.1666666666666666,701370.8992,0.5104556728103876,-0.0329218106995884,0.0923827510229776,0.0213513797083202,1277.0,15247290.0,616900.0,0.0147127510509108,486.0,3.0,5969.0,0.3147540983606558,45.85714285714285,0.2004674811284565,51478.71428571428,2.0,12438.0,780088.3931,5094.0,638478.7497,0.0710313713146574,687806.25895,0.0451143895659611,0.0,1620039.0,631286.9938,2.0,3.0,2.0,2.0,0.0
90032,0.9188626057114844,0.0923076923076922,0.3095530199065641,0.2471300355537846,0.1441326530612245,571.0,-16.4,-0.2857142857142857,684623.2937,0.7218281612835128,0.2386117136659436,0.1004229369528867,0.0260647191895347,1351.0,22306223.0,605400.0,0.0143131178987752,461.0,3.0,8159.0,0.1587591240875911,45.85714285714285,-0.6683589968966457,62748.42857142857,2.0,14155.0,765573.0861,7497.0,622956.3644,0.074358217763352,671755.1590750001,0.0268617021276595,0.0,2920689.0,613867.8921,2.0,3.0,2.0,2.0,0.0
