ZIP Code,Housing Units,Median Gross Rent ($),Median Owner Cost ($),Median Home Value - Census ($),New Policies,Renewed Policies,Nonrenewed Policies (by Owner),Nonrenewed Policies (by Company),Nonrenewed Policies,Expiring Policies,% Nonrenewed Policies,% Nonrenewed Policies (by Owner),% Nonrenewed Policies (by Company),% Change - New Policies,% Change - Renewed Policies,% Change - Nonrenewed Policies (by Owner),% Change - Nonrenewed Policies (by Company),% Change - Nonrenewed Policies,% Change - Expiring Policies,Earned Premium ($),Claims (Fire and Smoke),Losses (Fire and Smoke) ($),% Change - Earned Premiums,% Change - Claims (Fire and Smoke),% Change - Losses (Fire and Smoke),Voluntary Market Units,FAIR Plan Units,Total Res Units,% Market Units,% FAIR Plan Units,Total Exposure ($),Zillow Home Value 2018 ($),Zillow Home Value 2019 ($),Zillow Home Value 2020 ($),Zillow Home Value 2021 ($),Zillow Mean Home Value ($),% Change - Zillow Home Value,All Disasters 1y,All Disasters 3y,All Disasters 5y,All Disasters 10y,Fire Disasters 1y,Fire Disasters 3y,Fire Disasters 5y,Fire Disasters 10y,Avg % White-only Pop,% Change White-only Pop,Avg Median Income,% Change Median Income
90001,14010.0,1262.0,427.0,425200.0,3162.0,22127.0,1780.0,1073.0,2853.0,24980.0,0.11421136909527622,0.07125700560448359,0.04295436349079263,0.31117824773413894,0.02063173270038332,0.058375634517766395,0.5181818181818181,0.223127035830619,0.04104416351994744,15005153.0,126.0,4157573.0,0.4604041156339429,0.2833333333333332,-0.35270390179819844,6913.0,2104.0,9017.0,0.7666629699456582,0.2333370300543418,532891886.0,427729.2684,448146.3649,487937.2712,539794.0376,475901.735525,0.2619993006772694,0.0,2.0,2.0,3.0,0.0,2.0,2.0,3.0,45.85714285714285,-16.4,48115.28571428572,0.7036174985978687
90002,13577.0,1287.0,465.0,411500.0,3448.0,21908.0,2091.0,1022.0,3113.0,25021.0,0.12441549098757045,0.08356980136685184,0.0408456896207186,0.10765550239234445,0.04413145539906105,0.13263157894736843,0.48510638297872344,0.2492957746478872,0.06826843413421702,15336299.0,95.0,3793822.0,0.26611582910877374,-0.3571428571428572,-0.595781204538842,6534.0,1330.0,7864.0,0.8308748728382502,0.16912512716174974,391005676.0,414203.242,435521.9346,479629.5851,539991.8223,467336.64600000007,0.30368806311757446,0.0,2.0,2.0,3.0,0.0,2.0,2.0,3.0,45.85714285714285,-16.4,43639.71428571428,0.6517058823529411
90003,18501.0,1293.0,555.0,430800.0,4525.0,26933.0,2667.0,1304.0,3971.0,30904.0,0.12849469324359306,0.08629950815428424,0.04219518508930883,0.15268614514608858,0.057919803349208765,0.20991735537190093,0.37421383647798745,0.266522210184182,0.08382669537136711,20549601.0,133.0,4313440.0,0.3045148169681706,1.333333333333333,0.9901144215207993,8716.0,1934.0,10650.0,0.8184037558685446,0.1815962441314554,517188602.0,441528.9545,460767.8037,504402.5388,565776.302,493118.89975,0.28140249067176426,0.0,2.0,2.0,3.0,0.0,2.0,2.0,3.0,45.85714285714285,-16.4,44032.857142857145,0.5926098206238917
90004,25100.0,1530.0,829.0,1148400.0,2182.0,15683.0,1704.0,434.0,2138.0,17821.0,0.11997082094158577,0.09561752988047809,0.02435329106110768,0.1578947368421053,-0.006382435537401032,0.1974683544303797,0.09174311926605494,0.17460317460317465,0.014250169644876687,39605615.0,48.0,3316605.0,0.3434162878057423,-0.08333333333333337,0.7257641120883049,4710.0,495.0,5205.0,0.9048991354466859,0.09510086455331412,191648836.0,1268164.943,1242812.682,1343222.973,1462698.203,1329224.70025,0.1533974433481875,0.0,2.0,2.0,3.0,0.0,2.0,2.0,3.0,45.85714285714285,-16.4,53401.0,0.3450763186707026
90005,18128.0,1413.0,1123.0,964700.0,521.0,3357.0,384.0,125.0,509.0,3866.0,0.13166063114330057,0.09932747025349198,0.03233316088980859,0.016000000000000014,0.0011990407673860837,0.20454545454545459,-0.12121212121212122,0.11570247933884303,0.015706806282722585,13665743.0,16.0,885674.0,0.3831515654918678,-0.1428571428571429,10.78806290733085,996.0,100.0,1096.0,0.9087591240875912,0.09124087591240876,54169330.0,908565.9867,885748.8607,932504.9605,1011805.93,934656.434475,0.11362954899398958,0.0,2.0,2.0,3.0,0.0,2.0,2.0,3.0,45.85714285714285,-16.4,42199.0,0.6251809864144666
90006,20912.0,1234.0,664.0,716900.0,1224.0,6790.0,750.0,339.0,1089.0,7879.0,0.1382155095824343,0.09518974489148369,0.04302576469095063,0.31338028169014076,0.04384896467722288,0.19889502762430933,0.9014084507042253,0.39682539682539675,0.09081309398099258,10671112.0,41.0,3312606.0,0.34890972225841144,0.16666666666666674,18.936829456698995,2402.0,836.0,3238.0,0.7418159357628166,0.25818406423718343,235567228.0,712936.2636,709798.0986,756763.5455,829296.3587,752198.5666,0.16321247920877968,0.0,2.0,2.0,3.0,0.0,2.0,2.0,3.0,45.85714285714285,-16.4,40308.857142857145,0.4751997632435631
90007,13513.0,1252.0,676.0,717300.0,1143.0,7147.0,723.0,268.0,991.0,8138.0,0.12177439174244287,0.08884246743671664,0.03293192430572622,0.3811475409836065,0.05497685185185186,0.7593984962406015,0.7454545454545454,0.7553191489361701,0.12369519832985376,10749071.0,33.0,1399265.0,0.39856446781292787,-0.1428571428571429,0.47330031993533295,2369.0,728.0,3097.0,0.7649338069099129,0.2350661930900872,199358232.0,717497.2564,745163.8486,826046.7618,908164.224,799218.0227,0.2657389500785834,0.0,2.0,2.0,3.0,0.0,2.0,2.0,3.0,45.85714285714285,-16.4,30258.85714285714,0.5618552232336368
90008,15900.0,1377.0,525.0,781600.0,2012.0,17624.0,1528.0,375.0,1903.0,19527.0,0.09745480616582168,0.07825062733650842,0.01920417882931326,0.1169102296450939,0.013516609392898005,0.1005586592178771,0.14432989690721643,0.10989010989010994,0.022614107883817347,26759003.0,83.0,6279337.0,0.5302440387599885,-0.3933333333333334,-0.5717398470207459,4774.0,244.0,5018.0,0.9513750498206457,0.04862495017935432,116575448.0,823965.9911,848870.1626,943412.1431,1089768.285,926504.14545,0.3225889135850766,0.0,2.0,2.0,3.0,0.0,2.0,2.0,3.0,45.85714285714285,-16.4,48031.857142857145,0.6872356103818127
90011,25531.0,1307.0,605.0,452100.0,5015.0,30290.0,2892.0,1550.0,4442.0,34732.0,0.12789358516641713,0.08326615225152598,0.044627432914891164,0.27422145328719716,0.03932203389830513,0.2758064516129033,0.5701219512195121,0.3776371308016877,0.07785654211221926,24815880.0,134.0,5187047.0,0.2763099313781885,1.0,5.1420577873559505,10249.0,3336.0,13585.0,0.7544350386455649,0.24556496135443504,834345596.0,443282.5808,459312.416,506920.126,560746.111,492565.30845,0.2649856666779269,0.0,2.0,2.0,3.0,0.0,2.0,2.0,3.0,45.85714285714285,-16.4,44151.42857142857,0.5900248344370861
90012,15751.0,1859.0,662.0,633000.0,296.0,2660.0,225.0,54.0,279.0,2939.0,0.09493024838380401,0.07655665192242259,0.01837359646138142,0.6842105263157894,0.03039513677811545,0.051724137931034475,0.17647058823529416,0.08000000000000007,0.03547066848567537,8739469.0,18.0,485369.0,0.3280599389648502,-0.5,-0.9060369712822042,827.0,87.0,914.0,0.9048140043763676,0.09518599562363239,25670000.0,608685.8668,608389.9886,628377.0604,670797.2062,629062.5305,0.10204169800513596,0.0,2.0,2.0,3.0,0.0,2.0,2.0,3.0,45.85714285714285,-16.4,51050.0,0.7437993090290311
