ZIP Code,% Change - Claims (Fire and Smoke),% Change - Earned Premiums,% Change - Expiring Policies,% Change - Losses (Fire and Smoke),% Change - New Policies,% Change - Nonrenewed Policies,% Change - Nonrenewed Policies (by Company),% Change - Nonrenewed Policies (by Owner),% Change - Renewed Policies,% Change - Zillow Home Value,% Change Median Income,% Change White-only Pop,% Market Units,% Nonrenewed Policies,% Nonrenewed Policies (by Company),% Nonrenewed Policies (by Owner),All Disasters 10y,All Disasters 1y,All Disasters 3y,All Disasters 5y,Avg % White-only Pop,Avg Median Income,Claims (Fire and Smoke),Earned Premium ($),Expiring Policies,Fire Disasters 10y,Fire Disasters 1y,Fire Disasters 3y,Fire Disasters 5y,Housing Units,Losses (Fire and Smoke) ($),Median Gross Rent ($),Median Home Value - Census ($),Median Owner Cost ($),New Policies,Nonrenewed Policies,Nonrenewed Policies (by Company),Nonrenewed Policies (by Owner),Renewed Policies,Total Res Units,Voluntary Market Units,Zillow Home Value 2018 ($),Zillow Home Value 2019 ($),Zillow Home Value 2020 ($),Zillow Home Value 2021 ($),Zillow Mean Home Value ($),Losses to Premium Ratio,Renewed to Nonrenewed Ratio,New and Renewed to Nonrenewed Ratio,New and Renewed to Total Units Ratio,Log of Average Median Income,Housing Value to Median Income Ratio,Housing Value to Log Median Income Ratio,Fire Smoke Claims to Total Units Ratio,New and Renewed to Nonrenewed and Income Growth Product,New and Renewed to Nonrenewed and Income Growth Ratio,Losses to Company Nonrenewed Ratio,Losses to Owner Nonrenewed Ratio,Change in Renewed to Income Growth Ratio,Change in Nonrenewed to Income Growth Ratio,Growth in Losses to All Disasters 3yr Ratio,Growth in Losses to All Disasters 5yr Ratio,Growth in Losses to All Disasters 10yr Ratio,Growth in Losses to Fire Disasters 3yr Ratio,Growth in Losses to Fire Disasters 5yr Ratio,Growth in Losses to Fire Disasters 10yr Ratio,Premium to Exposure Ratio,Nonrenewal Rate,Loss Burden per Unit,Loss Burden per Exposure,Premium Adequacy,Renewal Resilience
90001,0.2833333333333332,0.4604041156339429,0.0410441635199474,-0.3527039017981984,0.3111782477341389,0.223127035830619,0.5181818181818181,0.0583756345177663,0.0206317327003833,0.2619993006772694,0.7036174985978687,-16.4,0.7666629699456582,0.1142113690952762,0.0429543634907926,0.0712570056044835,3.0,0.0,2.0,2.0,45.85714285714285,48115.28571428572,126.0,15005153.0,24980.0,3.0,0.0,2.0,2.0,14010.0,4157573.0,1262.0,425200.0,427.0,3162.0,2853.0,1073.0,1780.0,22127.0,9017.0,6913.0,427729.2684,448146.3649,487937.2712,539794.0376,475901.735525,0.27707634837178935,7.755695758850333,8.864002804065896,2.8045913274925143,10.781355195926995,9.890863754835856,44141.17955271405,0.013973605411999556,6.236867480561339,12.597757761467852,3874.7185461323393,2335.715168539326,0.029322370096674846,0.8194188658589606,-0.1763519508990992,-0.1763519508990992,-0.11756796726606612,-0.1763519508990992,-0.1763519508990992,-0.11756796726606612,1664.0959299101696,0.11421136909527622,461.08162359986693,461.08162359986693,3.6091135381146646,0.8857886309047238
90002,-0.3571428571428572,0.2661158291087737,0.068268434134217,-0.595781204538842,0.1076555023923444,0.2492957746478872,0.4851063829787234,0.1326315789473684,0.044131455399061,0.3036880631175744,0.6517058823529411,-16.4,0.8308748728382502,0.1244154909875704,0.0408456896207186,0.0835698013668518,3.0,0.0,2.0,2.0,45.85714285714285,43639.71428571428,95.0,15336299.0,25021.0,3.0,0.0,2.0,2.0,13577.0,3793822.0,1287.0,411500.0,465.0,3448.0,3113.0,1022.0,2091.0,21908.0,7864.0,6534.0,414203.242,435521.9346,479629.5851,539991.8223,467336.64600000007,0.24737532829791595,7.037584323803405,8.14519755862512,3.2243133265513735,10.683722892852117,10.708975841140772,43742.86479413173,0.012080366225839268,5.3082731618828065,12.498272271561248,3712.1545988258317,1814.3577235772357,0.0677168283946238,0.9478784504687752,-0.297890602269421,-0.297890602269421,-0.19859373484628065,-0.297890602269421,-0.297890602269421,-0.19859373484628065,1950.1906154628687,0.12441549098757045,482.4290437436419,482.4290437436419,4.042440314806546,0.8755845090124296
90003,1.333333333333333,0.3045148169681706,0.0838266953713671,0.9901144215207992,0.1526861451460885,0.266522210184182,0.3742138364779874,0.2099173553719009,0.0579198033492087,0.2814024906717642,0.5926098206238917,-16.4,0.8184037558685446,0.128494693243593,0.0421951850893088,0.0862995081542842,3.0,0.0,2.0,2.0,45.85714285714285,44032.857142857145,133.0,20549601.0,30904.0,3.0,0.0,2.0,2.0,18501.0,4313440.0,1293.0,430800.0,555.0,4525.0,3971.0,1304.0,2667.0,26933.0,10650.0,8716.0,441528.9545,460767.8037,504402.5388,565776.302,493118.89975,0.20990383219606065,6.782422563585999,7.921934021657013,2.9538028169014083,10.692691387465675,11.198884917918436,46117.37886011095,0.012488262910798123,4.6946158995684675,13.367875026635414,3307.852760736196,1617.3378327709036,0.09773682671716698,0.9856927298891585,0.4950572107603996,0.4950572107603996,0.3300381405069331,0.4950572107603996,0.4950572107603996,0.3300381405069331,1929.54,0.12849469324359306,405.01784037558684,405.01784037558684,4.764086436811454,0.8715053067564069
90004,-0.0833333333333333,0.3434162878057423,0.0142501696448766,0.7257641120883049,0.1578947368421053,0.1746031746031746,0.0917431192660549,0.1974683544303797,-0.006382435537401,0.1533974433481875,0.3450763186707026,-16.4,0.904899135446686,0.1199708209415857,0.0243532910611076,0.095617529880478,3.0,0.0,2.0,2.0,45.85714285714285,53401.0,48.0,39605615.0,17821.0,3.0,0.0,2.0,2.0,25100.0,3316605.0,1530.0,1148400.0,829.0,2182.0,2138.0,434.0,1704.0,15683.0,5205.0,4710.0,1268164.943,1242812.682,1343222.973,1462698.203,1329224.70025,0.08374077766498512,7.335360149672591,8.355940130963518,3.4322766570605188,10.885584751364705,24.891382188535797,122108.70895873164,0.009221902017291067,2.8834370594256793,24.21475968896427,7641.947004608295,1946.3644366197184,-0.018495721647858406,0.8381087256596753,0.36288205604415247,0.36288205604415247,0.24192137069610165,0.36288205604415247,0.36288205604415247,0.24192137069610165,7609.147934678194,0.11997082094158577,637.1959654178675,637.1959654178675,11.941613487285945,0.8800291790584143
90005,-0.1428571428571429,0.3831515654918678,0.0157068062827225,10.78806290733085,0.016,0.115702479338843,-0.1212121212121212,0.2045454545454545,0.001199040767386,0.1136295489939895,0.6251809864144666,-16.4,0.9087591240875912,0.1316606311433005,0.0323331608898085,0.0993274702534919,3.0,0.0,2.0,2.0,45.85714285714285,42199.0,16.0,13665743.0,3866.0,3.0,0.0,2.0,2.0,18128.0,885674.0,1413.0,964700.0,1123.0,521.0,509.0,125.0,384.0,3357.0,1096.0,996.0,908565.9867,885748.8607,932504.9605,1011805.93,934656.434475,0.06480979482784067,6.595284872298625,7.618860510805501,3.5383211678832116,10.650151803060869,22.148781593758148,87759.91664328938,0.014598540145985401,4.76316672949961,12.186647828976907,7085.392,2306.4427083333335,0.0019179098428164455,0.13329473407575304,5.394031453665425,5.394031453665425,3.5960209691102833,5.394031453665425,5.394031453665425,3.5960209691102833,12468.743613138686,0.13166063114330057,808.0967153284671,808.0967153284671,15.429766482927127,0.8683393688566994
90006,0.1666666666666667,0.3489097222584114,0.0908130939809925,18.936829456698995,0.3133802816901407,0.3968253968253967,0.9014084507042252,0.1988950276243093,0.0438489646772228,0.1632124792087796,0.4751997632435631,-16.4,0.7418159357628166,0.1382155095824343,0.0430257646909506,0.0951897448914836,3.0,0.0,2.0,2.0,45.85714285714285,40308.857142857145,41.0,10671112.0,7879.0,3.0,0.0,2.0,2.0,20912.0,3312606.0,1234.0,716900.0,664.0,1224.0,1089.0,339.0,750.0,6790.0,3238.0,2402.0,712936.2636,709798.0986,756763.5455,829296.3587,752198.5666,0.3104274418636033,6.235078053259872,7.359044995408632,2.4749845583693637,10.604326504006421,18.66087554738058,70933.1767855141,0.01266213712168005,3.49701643951691,15.486213514034858,9771.699115044248,4416.808,0.09227480329098578,2.315454601278021,9.468414728349497,9.468414728349497,6.312276485566332,9.468414728349497,9.468414728349497,6.312276485566332,3295.587399629401,0.1382155095824343,1023.0407659048795,1023.0407659048795,3.2213646899148283,0.8617844904175657
90007,-0.1428571428571429,0.3985644678129278,0.1236951983298537,0.4733003199353329,0.3811475409836065,0.7553191489361701,0.7454545454545454,0.7593984962406015,0.0549768518518518,0.2657389500785834,0.5618552232336368,-16.4,0.7649338069099129,0.1217743917424428,0.0329319243057262,0.0888424674367166,3.0,0.0,2.0,2.0,45.85714285714285,30258.85714285714,33.0,10749071.0,8138.0,3.0,0.0,2.0,2.0,13513.0,1399265.0,1252.0,717300.0,676.0,1143.0,991.0,268.0,723.0,7147.0,3097.0,2369.0,717497.2564,745163.8486,826046.7618,908164.224,799218.0227,0.1301754356260183,7.211907164480323,8.365287588294652,2.6767839845011303,10.317544218712966,26.412696914716825,77462.039973665,0.010655473038424281,4.700080525334863,14.888688833664375,5221.138059701492,1935.3596127247579,0.09784878662414911,2.6783644246186573,0.23665015996766645,0.23665015996766645,0.15776677331177763,0.23665015996766645,0.23665015996766645,0.15776677331177763,3470.801097836616,0.12177439174244287,451.813044882144,451.813044882144,7.681940876102811,0.8782256082575571
90008,-0.3933333333333334,0.5302440387599885,0.0226141078838173,-0.5717398470207459,0.1169102296450939,0.1098901098901099,0.1443298969072164,0.1005586592178771,0.013516609392898,0.3225889135850766,0.6872356103818127,-16.4,0.9513750498206456,0.0974548061658216,0.0192041788293132,0.0782506273365084,3.0,0.0,2.0,2.0,45.85714285714285,48031.857142857145,83.0,26759003.0,19527.0,3.0,0.0,2.0,2.0,15900.0,6279337.0,1377.0,781600.0,525.0,2012.0,1903.0,375.0,1528.0,17624.0,5018.0,4774.0,823965.9911,848870.1626,943412.1431,1089768.285,926504.14545,0.23466259187608746,9.261166579085653,10.318444561219128,3.9131127939418096,10.779619760221095,19.289367527355356,85949.61288606685,0.01654045436428856,7.091202546220322,15.014420680974943,16744.898666666668,4109.513743455497,0.019668086444747056,0.35633857213691084,-0.28586992351037294,-0.28586992351037294,-0.1905799490069153,-0.28586992351037294,-0.28586992351037294,-0.1905799490069153,5332.6032283778395,0.09745480616582168,1251.3624950179355,1251.3624950179355,4.2614376326672705,0.9025451938341783
90011,1.0,0.2763099313781885,0.0778565421122192,5.142057787355951,0.2742214532871971,0.3776371308016877,0.5701219512195121,0.2758064516129033,0.0393220338983051,0.2649856666779269,0.5900248344370861,-16.4,0.7544350386455649,0.1278935851664171,0.0446274329148911,0.0832661522515259,3.0,0.0,2.0,2.0,45.85714285714285,44151.42857142857,134.0,24815880.0,34732.0,3.0,0.0,2.0,2.0,25531.0,5187047.0,1307.0,452100.0,605.0,5015.0,4442.0,1550.0,2892.0,30290.0,13585.0,10249.0,443282.5808,459312.416,506920.126,560746.111,492565.30845,0.2090212799223723,6.8190004502476365,7.94799639801891,2.598822230401178,10.695380562732373,11.15627114201126,46054.02356287575,0.00986382039013618,4.689515258847664,13.470613326982594,3346.481935483871,1793.5847164591978,0.06664470985500184,1.433716605572161,2.5710288936779757,2.5710288936779757,1.7140192624519839,2.5710288936779757,2.5710288936779757,1.7140192624519839,1826.7118145012882,0.12789358516641713,381.82164151637835,381.82164151637835,4.784201878255585,0.8721064148335829
90012,-0.5,0.3280599389648502,0.0354706684856753,-0.9060369712822042,0.6842105263157894,0.08,0.1764705882352941,0.0517241379310344,0.0303951367781154,0.1020416980051359,0.7437993090290311,-16.4,0.9048140043763676,0.094930248383804,0.0183735964613814,0.0765566519224225,3.0,0.0,2.0,2.0,45.85714285714285,51050.0,18.0,8739469.0,2939.0,3.0,0.0,2.0,2.0,15751.0,485369.0,1859.0,633000.0,662.0,296.0,279.0,54.0,225.0,2660.0,914.0,827.0,608685.8668,608389.9886,628377.0604,670797.2062,629062.5305,0.05553758472053622,9.53405017921147,10.594982078853047,3.2341356673960613,10.840560823592812,12.322478560235064,58028.596558486366,0.019693654266958426,7.880540349425864,14.244409681805063,8988.314814814816,2157.1955555555555,0.04086470155208097,0.30679609861995966,-0.4530184856411021,-0.4530184856411021,-0.3020123237607347,-0.4530184856411021,-0.4530184856411021,-0.3020123237607347,9561.782275711159,0.09493024838380401,531.0382932166302,531.0382932166302,18.005824434605422,0.905069751616196
