ZIP Code,new_policies,renewed_policies,nonrenewed_policies,total_units,median_home_value,Avg_Median_Income_2018_2021,earned_premium,earned_exposure,expiring_policies,Climate_Disasters_Avf_10yr,New_and_Renewed_to_Nonrenewed_Ratio,New_and_Renewed_to_Total_Units_Ratio,Housing_Affordability_Ratio,Relative_Housing_Cost_Index,Premium_to_Exposure_Ratio,Nonrenewal_Rate,Renewal_Resilience
90001,3162,22127,2853,9017,425200.0,45674.5,15005153,34015,24980,0.0,8.864002804065896,2.8045913274925143,9.309352045452057,39629.81563929518,441.13341173011906,0.11421136909527622,0.8857886309047238
90002,3448,21908,3113,7864,411500.0,40274.75,15336299,31620,25021,0.0,8.14519755862512,3.2243133265513735,10.217319784728645,38808.013970204614,485.01894370651485,0.12441549098757045,0.8755845090124296
90003,4525,26933,3971,10650,430800.0,41944.25,20549601,40859,30904,0.0,7.921934021657013,2.9538028169014083,10.270776089690482,40473.13875384601,502.9394013558824,0.12849469324359306,0.8715053067564069
90004,2182,15683,2138,5205,1148400.0,51537.75,39605615,40942,17821,0.0,8.355940130963518,3.4322766570605188,22.28269569393309,105842.63679606227,967.3590689267745,0.11997082094158577,0.8800291790584143
90005,521,3357,509,1096,964700.0,40237.75,13665743,22208,3866,0.0,7.618860510805501,3.5383211678832116,23.97499860205901,90987.45200590101,615.3522604466859,0.13166063114330057,0.8683393688566994
90006,1224,6790,1089,3238,716900.0,37731.5,10671112,22738,7879,0.0,7.359044995408632,2.4749845583693637,19.000039754581717,68028.36916351541,469.30741490016715,0.1382155095824343,0.8617844904175657
90007,1143,7147,991,3097,717300.0,29096.0,10749071,31347,8138,0.0,8.365287588294652,2.6767839845011303,24.652873247181745,69787.42523906431,342.9058921108878,0.12177439174244287,0.8782256082575571
90008,2012,17624,1903,5018,781600.0,44970.0,26759003,29933,19527,0.0,10.318444561219128,3.9131127939418096,17.38047587280409,72952.9749918137,893.9632846690943,0.09745480616582168,0.9025451938341783
90011,5015,30290,4442,13585,452100.0,42409.0,24815880,49843,34732,0.0,7.94799639801891,2.598822230401178,10.660473012803886,42430.3222011732,497.88094617097687,0.12789358516641713,0.8721064148335829
90012,296,2660,279,914,633000.0,48121.25,8739469,33407,2939,0.0,10.594982078853047,3.2341356673960613,13.154271761435956,58711.79560801689,261.6059209147783,0.09493024838380401,0.905069751616196
