zipcode,State,CountyName,City,2018,2019,2020,2021,mean_2018_2021,percent_increase_2018_2021
90011,CA,Los Angeles County,Los Angeles,406562.6000737082,442737.9214051831,479564.361130428,542649.8753852563,467878.6894986439,33.47
90650,CA,Los Angeles County,Norwalk,492692.6562095437,512269.6685678949,547016.0599250366,628992.6502678782,545242.7587425883,27.66
91331,CA,Los Angeles County,Los Angeles,470592.96669897344,498204.0361638065,537991.7726344011,622559.9098563873,532337.1713383921,32.29
90044,CA,Los Angeles County,Los Angeles,433018.635637887,471186.55373036955,511070.7716459735,583537.6098378546,499703.39271302114,34.76
92336,CA,San Bernardino County,Fontana,444389.6427896714,460405.59021022666,484102.3221450111,575307.9516925372,491051.37670936156,29.46
94565,CA,Contra Costa County,Pittsburg,442828.73371707014,456540.0043930624,480757.26285016583,568460.105714007,487146.52666857635,28.37
92335,CA,San Bernardino County,Fontana,344456.295518984,361084.1650767312,382946.60934078885,446398.3562588669,383721.35654884274,29.6
90201,CA,Los Angeles County,Bell,436093.8007318504,464336.6206806952,501372.4209041193,567653.3185484672,492364.04021628306,30.17
90250,CA,Los Angeles County,Hawthorne,646065.4494691504,687571.0482848402,730284.7876268326,824805.9188144145,722181.8010488094,27.67
90805,CA,Los Angeles County,Long Beach,456568.4020153491,486915.9599494643,522391.3739615595,600211.6190247637,516521.8387377842,31.46
93307,CA,Kern County,Bakersfield,171964.01391525706,185029.27661734945,199336.61834702847,234695.26832258597,197756.29430055525,36.48
90280,CA,Los Angeles County,South Gate,458659.6683917637,484317.4165644518,515840.3172779713,584765.6734689116,510895.7689257746,27.49
91342,CA,Los Angeles County,Los Angeles,520282.46505035943,550146.7698257447,591029.9731336428,689307.8678650255,587691.7689686931,32.49
92683,CA,Orange County,Westminster,672203.4096814456,684262.243490605,725650.1902912307,818577.3100724182,725173.2883839249,21.78
92503,CA,Riverside County,Riverside,408347.2300587205,422054.3471276338,444639.0823585563,525685.7405650296,450181.60002748505,28.73
92345,CA,San Bernardino County,Hesperia,264581.8755816641,272548.95108607155,291163.31720961287,357297.1461784248,296397.8225139433,35.04
91911,CA,San Diego County,Chula Vista,473324.1337371061,488434.157471569,522144.443660768,610753.180059672,523663.9787322788,29.03
93033,CA,Ventura County,Oxnard,459653.71419882914,475574.5619597892,504128.1820249587,577520.5195621366,504219.2444364284,25.64
95076,CA,Santa Cruz County,Watsonville,627246.0020406191,640085.6151351949,663860.9342062096,773309.927506296,676125.61972208,23.29
92154,CA,San Diego County,San Diego,468915.0524673376,480863.4106057266,514123.5859437498,601544.4683907758,516361.62935189746,28.28
92376,CA,San Bernardino County,Rialto,338440.4135558785,355642.6127588353,380051.7435328802,447253.9191420769,380347.17224741774,32.15
92804,CA,Orange County,Anaheim,578871.9893934497,589813.5532697561,628234.1735424815,717137.1917104766,628514.226979041,23.89
91710,CA,San Bernardino County,Chino,512992.344487307,519823.54612866906,537904.6047048682,627429.0165735268,549537.3779735927,22.31
93722,CA,Fresno County,Fresno,253561.56329537896,265817.56713980227,280253.11330196494,329877.55910139304,282377.4507096348,30.1
94112,CA,San Francisco County,San Francisco,1136752.7408852575,1162906.7783352265,1220546.196883539,1262550.960324256,1195689.1691070697,11.07
95823,CA,Sacramento County,Sacramento,287849.27983765164,300640.104663895,321188.5640560624,387128.59152615577,324201.6350209412,34.49
95035,CA,Santa Clara County,Milpitas,1098031.2584310176,1089603.7905160976,1100199.640450446,1249794.0391369597,1134407.1821336304,13.82
91744,CA,Los Angeles County,La Puente,478927.4144370218,501184.2417013592,532457.2417201347,611716.0754106854,531071.2433173003,27.73
92509,CA,Riverside County,Jurupa Valley,391016.5324897258,405790.2758688444,432957.2969373059,508767.93898307224,434633.0110697371,30.11
93257,CA,Tulare County,Porterville,201818.4514168384,214811.87152295277,229305.6441889831,263033.0851827219,227242.26307787403,30.33
93550,CA,Los Angeles County,Palmdale,274701.6309006273,295213.22790328774,316760.4452548431,385128.39468948095,317950.92468705977,40.2
92592,CA,Riverside County,Temecula,487269.6305158183,494818.6014308752,519344.7530354091,633333.9342353387,533691.7298043603,29.98
95630,CA,Sacramento County,Folsom,566104.358065249,585771.7433877159,614710.9234768354,723122.7591991555,622427.4460322389,27.74
92880,CA,Riverside County,Eastvale,600864.0043775176,610521.3853795637,637358.1004964634,758964.5356275266,651927.0064702679,26.31
94544,CA,Alameda County,Hayward,678745.5610434518,686588.8169112,707707.6241286309,824473.5758403866,724378.8944809173,21.47
90706,CA,Los Angeles County,Bellflower,535560.7628992667,557365.7801604633,593852.3430882981,682677.1623557209,592364.0121259373,27.47
93535,CA,Los Angeles County,Lancaster,256728.5159866309,278014.87753313006,299428.7914731369,369188.4771529773,300840.1655364688,43.81
92704,CA,Orange County,Santa Ana,556228.8556076827,567245.5614618502,606661.9134015244,684014.6465277616,603537.7442497048,22.97
93274,CA,Tulare County,Tulare,216924.25129329247,228131.04851518827,242338.40948751525,285576.8336748925,243242.63574272214,31.65
91335,CA,Los Angeles County,Los Angeles,525054.8298862805,551451.187359551,589809.5766828606,693099.2498408713,589853.7109423908,32.01
94533,CA,Solano County,Fairfield,410977.1813313851,422665.0392361518,438795.7701917747,507993.7320708344,445107.9307075365,23.61
93536,CA,Los Angeles County,Lancaster,348708.69915577193,365416.7046330249,391154.7836008685,475525.1664213158,395201.3384527453,36.37
