ZIP Code,housing_units,median_gross_rent,median_ownership_cost,median_home_value
90001,14010,1262.0,427.0,425200.0
90002,13577,1287.0,465.0,411500.0
90003,18501,1293.0,555.0,430800.0
90004,25100,1530.0,829.0,1148400.0
90005,18128,1413.0,1123.0,964700.0
90006,20912,1234.0,664.0,716900.0
90007,13513,1252.0,676.0,717300.0
90008,15900,1377.0,525.0,781600.0
90010,2832,2253.0,1501.0,822100.0
90011,25531,1307.0,605.0,452100.0
90012,15751,1859.0,662.0,633000.0
90013,9506,855.0,1009.0,664800.0
90015,13494,2094.0,1448.0,715000.0
90016,18787,1436.0,599.0,677500.0
90017,14712,1280.0,1501.0,697100.0
90018,17654,1356.0,629.0,704300.0
90019,26015,1574.0,802.0,1033900.0
90020,18786,1524.0,813.0,650300.0
90022,18077,1208.0,465.0,471000.0
90023,12343,1260.0,540.0,479600.0
90024,20205,2441.0,1499.0,1231000.0
90025,23418,2271.0,1125.0,905900.0
90026,27813,1497.0,642.0,962100.0
90027,23410,1684.0,1049.0,1287200.0
90028,21466,1612.0,773.0,723000.0
90029,14787,1367.0,674.0,898400.0
90031,12438,1277.0,470.0,616900.0
90032,14155,1351.0,571.0,605400.0
90033,13935,1196.0,487.0,538900.0
90034,28630,1925.0,713.0,1152500.0
90035,13695,2183.0,853.0,1494600.0
90036,21391,2393.0,1025.0,1634700.0
90037,18605,1265.0,650.0,502000.0
90038,14474,1542.0,759.0,945000.0
90039,12957,1887.0,717.0,972900.0
90040,3487,1156.0,391.0,452100.0
90041,10406,1627.0,761.0,886800.0
90042,21792,1581.0,632.0,731600.0
90043,18444,1260.0,644.0,684500.0
90044,29495,1235.0,471.0,461200.0
90045,17307,2542.0,788.0,1103500.0
90046,31428,1860.0,1180.0,1290400.0
90047,17700,1310.0,564.0,519400.0
90048,13758,2162.0,1239.0,1441200.0
90049,18156,2554.0,1501.0,2000001.0
90056,3776,1911.0,959.0,1114900.0
90057,18166,1260.0,626.0,576200.0
90059,10624,1131.0,540.0,415100.0
90061,8256,1304.0,497.0,438800.0
90062,10256,1375.0,618.0,550600.0
90063,14310,1252.0,487.0,481100.0
90064,12309,2282.0,943.0,1388300.0
90065,17135,1588.0,642.0,833400.0
90066,26050,1901.0,717.0,1282100.0
90067,2112,3362.0,1501.0,1344900.0
90068,14413,1837.0,1299.0,1500800.0
90069,15092,2092.0,1349.0,890100.0
90077,3501,2667.0,1501.0,2000001.0
90094,6086,3479.0,1501.0,1132000.0
90201,24326,1368.0,478.0,440500.0
90210,9841,2872.0,1501.0,2000001.0
90211,4363,2369.0,1501.0,2000001.0
90212,6366,2367.0,1336.0,2000001.0
90220,14215,1278.0,504.0,394900.0
90221,12979,1366.0,509.0,412600.0
90222,8790,1295.0,480.0,420700.0
90230,14470,2129.0,823.0,849200.0
90232,7743,2245.0,581.0,1219100.0
90240,8038,1730.0,621.0,646900.0
90241,14796,1636.0,661.0,627700.0
90242,12923,1703.0,534.0,557700.0
90245,7424,2210.0,680.0,1244200.0
90247,16951,1483.0,500.0,540800.0
90248,4077,1410.0,605.0,571200.0
90249,9161,1375.0,452.0,584000.0
90250,33611,1465.0,548.0,661400.0
90254,10169,2498.0,787.0,1674500.0
90255,18655,1215.0,519.0,455000.0
90260,10768,1686.0,454.0,597300.0
90262,15402,1355.0,578.0,449600.0
90266,15002,2893.0,982.0,2000001.0
90270,6417,1226.0,435.0,481800.0
90272,9043,2977.0,1206.0,2000001.0
90274,9878,2931.0,1324.0,1757700.0
90275,16540,3045.0,926.0,1247000.0
90277,18181,2315.0,879.0,1143800.0
90278,16799,2222.0,684.0,992600.0
90280,24316,1278.0,504.0,470200.0
90290,2427,3501.0,886.0,1184900.0
90291,16208,2304.0,1018.0,1899800.0
90292,15519,3179.0,1501.0,1076900.0
90293,7033,2380.0,964.0,899000.0
90301,12879,1420.0,534.0,547900.0
90302,11244,1550.0,594.0,590000.0
90303,7253,1498.0,488.0,606100.0
90304,7489,1255.0,548.0,586600.0
90305,6328,1662.0,581.0,646500.0
90402,5805,2083.0,1501.0,2000001.0
90403,14912,2200.0,1257.0,1523400.0
90404,11459,1900.0,964.0,922900.0
90405,15808,1970.0,807.0,1430800.0
90501,15704,1578.0,702.0,724900.0
90502,6778,1550.0,488.0,520700.0
90503,18306,1943.0,778.0,861000.0
90504,12414,1889.0,555.0,712300.0
90505,15241,2000.0,711.0,916100.0
90601,11113,1567.0,593.0,626500.0
90602,8357,1466.0,504.0,601600.0
90603,6630,1963.0,576.0,649600.0
90604,12167,1630.0,532.0,591400.0
90605,11421,1572.0,476.0,556000.0
90606,8886,1606.0,458.0,509600.0
90620,13620,2066.0,507.0,622700.0
90621,11108,1743.0,632.0,643200.0
90623,5036,1941.0,629.0,739200.0
90630,16677,2068.0,642.0,700100.0
90631,22551,1747.0,686.0,628900.0
90638,15124,1796.0,586.0,630100.0
90640,20112,1543.0,562.0,558600.0
90650,27128,1738.0,497.0,487800.0
90660,17388,1569.0,466.0,490300.0
90670,5370,1638.0,537.0,492100.0
90680,9963,1771.0,639.0,472800.0
90701,4617,1856.0,545.0,635000.0
90703,16147,2459.0,575.0,762700.0
90704,2384,1677.0,1268.0,863800.0
90706,25094,1570.0,559.0,535300.0
90710,9594,1321.0,755.0,523400.0
90712,10514,2058.0,522.0,622800.0
90713,9851,2268.0,542.0,638600.0
90715,6736,1873.0,542.0,555400.0
90716,3805,1584.0,520.0,442000.0
90717,8636,1528.0,611.0,649400.0
90720,8424,2194.0,617.0,1004200.0
90723,14777,1555.0,467.0,411900.0
90731,24459,1453.0,631.0,657700.0
90732,9128,2244.0,739.0,657400.0
90740,14096,2152.0,569.0,442000.0
90743,364,2150.0,1391.0,2000001.0
90744,15610,1245.0,596.0,471000.0
90745,16172,1608.0,500.0,516000.0
90746,8690,2450.0,595.0,585600.0
90755,4922,1565.0,864.0,553100.0
90802,23942,1520.0,747.0,460300.0
90803,18664,1831.0,999.0,943000.0
90804,15912,1508.0,534.0,541000.0
90805,28857,1407.0,509.0,469100.0
90806,13128,1355.0,475.0,568400.0
90807,13400,1643.0,613.0,661100.0
90808,14605,1933.0,529.0,708300.0
90810,10193,1327.0,468.0,464500.0
90813,18689,1312.0,363.0,430500.0
90814,9452,1743.0,639.0,738900.0
90815,15565,2054.0,593.0,701600.0
91001,13271,1824.0,691.0,887100.0
91006,11232,1795.0,979.0,1074000.0
91007,12987,1833.0,913.0,1056600.0
91010,8833,1820.0,531.0,560900.0
91011,6901,3413.0,1083.0,1671000.0
91016,15658,1780.0,723.0,707400.0
91020,3450,1826.0,751.0,719600.0
91024,5529,1825.0,881.0,1048300.0
91030,11087,1914.0,949.0,1174400.0
91040,8013,1657.0,817.0,638100.0
91042,10652,1518.0,692.0,617400.0
91101,12006,1980.0,983.0,615200.0
91103,9258,1690.0,706.0,780200.0
91104,14259,1737.0,655.0,836500.0
91105,6508,2663.0,1274.0,1306200.0
91106,11819,1885.0,889.0,811200.0
91107,13785,1984.0,783.0,913700.0
91108,4610,3501.0,1501.0,2000001.0
91201,8614,1792.0,746.0,916000.0
91202,9235,1988.0,869.0,876700.0
91203,7287,2014.0,795.0,592600.0
91204,6918,1658.0,746.0,561800.0
91205,14749,1686.0,658.0,677200.0
91206,13851,1904.0,876.0,910500.0
91207,4359,2011.0,1171.0,1092700.0
91208,6464,2059.0,1026.0,1054700.0
91214,11150,2149.0,754.0,851700.0
91301,9772,2985.0,809.0,871000.0
91302,10225,2620.0,1501.0,1341400.0
91303,10454,1754.0,674.0,536400.0
91306,15018,1609.0,789.0,592400.0
91307,8891,3267.0,856.0,714600.0
91316,13162,1886.0,1053.0,724500.0
91320,15430,2441.0,776.0,755800.0
91321,11614,1851.0,755.0,513500.0
91324,11006,1947.0,920.0,680200.0
91325,13383,1730.0,907.0,720900.0
91326,13144,2229.0,1119.0,846700.0
91331,24097,1510.0,677.0,487600.0
91335,25343,1618.0,729.0,580500.0
91340,9261,1490.0,574.0,515000.0
91342,26109,1767.0,799.0,520900.0
91343,18641,1565.0,771.0,608500.0
91344,18309,2016.0,855.0,690300.0
91345,5613,1770.0,641.0,558000.0
91350,13238,2152.0,704.0,605800.0
91351,10562,2001.0,682.0,471900.0
91352,12735,1603.0,717.0,584100.0
91354,10964,2579.0,851.0,648600.0
91355,12562,2303.0,848.0,600200.0
91356,12471,1720.0,1195.0,1023000.0
91360,15674,2168.0,671.0,735100.0
91362,14450,2364.0,917.0,878300.0
91364,11053,2575.0,1051.0,949000.0
91367,19441,2384.0,1001.0,786200.0
91377,5221,2764.0,1022.0,823300.0
91381,6772,2348.0,1170.0,851300.0
91384,7119,1767.0,764.0,579800.0
91387,14603,2186.0,784.0,599500.0
91390,6759,2194.0,925.0,647600.0
91401,15281,1595.0,864.0,798900.0
91402,20683,1408.0,731.0,483700.0
91403,12760,2150.0,1368.0,1129100.0
91405,19397,1494.0,727.0,581600.0
91406,19494,1642.0,776.0,608600.0
91411,9748,1647.0,785.0,759300.0
91423,16264,2044.0,1241.0,1066600.0
91436,6244,2804.0,1492.0,1545300.0
91501,8341,1864.0,628.0,827400.0
91502,5990,1671.0,450.0,761400.0
91504,10702,1853.0,749.0,819100.0
91505,14100,2007.0,613.0,812500.0
91506,8654,1778.0,570.0,850600.0
91601,19161,1780.0,640.0,744500.0
91602,10677,1895.0,832.0,873700.0
91604,15489,2228.0,1123.0,1263200.0
91605,17325,1586.0,663.0,605900.0
91606,16267,1493.0,639.0,648100.0
91607,14129,1761.0,870.0,864100.0
91701,13263,1976.0,679.0,577200.0
91702,16994,1663.0,560.0,474100.0
91706,18379,1617.0,530.0,465900.0
91708,4663,2413.0,924.0,488900.0
91709,26183,2318.0,827.0,676800.0
91710,23408,1689.0,575.0,512600.0
91711,13049,1828.0,696.0,714400.0
91722,10669,1692.0,504.0,513600.0
91723,6399,1545.0,589.0,579100.0
91724,9324,1865.0,654.0,613400.0
91730,25301,1927.0,632.0,452400.0
91731,8391,1369.0,533.0,497100.0
91732,15621,1503.0,577.0,517800.0
91733,11166,1439.0,526.0,486400.0
91737,8116,2157.0,787.0,659500.0
91739,12062,2067.0,884.0,648400.0
91740,8718,1861.0,682.0,590200.0
91741,9329,1865.0,738.0,757100.0
91744,18988,1670.0,485.0,463200.0
91745,17076,1952.0,657.0,647300.0
91746,7238,1491.0,459.0,488400.0
91748,14260,1704.0,760.0,663600.0
91750,12656,1771.0,738.0,630400.0
91752,9569,1838.0,681.0,521900.0
91754,12505,1587.0,603.0,687700.0
91755,9120,1667.0,658.0,639900.0
91759,394,1383.0,446.0,380000.0
91761,18063,1679.0,574.0,452900.0
91762,19099,1490.0,590.0,437700.0
91763,10194,1524.0,460.0,423700.0
91764,16914,1743.0,477.0,415600.0
91765,15754,2193.0,778.0,709800.0
91767,15364,1498.0,564.0,449500.0
91768,8953,1411.0,597.0,427500.0
91770,17101,1565.0,535.0,601300.0
91773,12188,2012.0,756.0,625400.0
91775,8618,1789.0,743.0,861400.0
91776,12313,1627.0,695.0,698900.0
91780,12349,1771.0,655.0,766200.0
91784,9196,2353.0,749.0,666800.0
91786,20044,1624.0,575.0,483400.0
91789,13462,2548.0,819.0,790500.0
91790,13023,1982.0,521.0,594000.0
91791,11311,1697.0,688.0,647400.0
91792,9489,1918.0,626.0,557100.0
91801,21537,1671.0,678.0,662100.0
91803,10383,1567.0,536.0,643900.0
91901,6591,1768.0,809.0,644200.0
91902,6368,1989.0,711.0,732000.0
91906,1523,1176.0,560.0,282800.0
91910,27994,1677.0,526.0,549100.0
91911,27867,1725.0,440.0,485300.0
91913,16360,2658.0,855.0,578600.0
91914,4842,3055.0,989.0,739300.0
91915,10098,2687.0,797.0,604600.0
91916,780,2462.0,484.0,479600.0
91932,10350,1683.0,510.0,639200.0
91935,3100,1898.0,932.0,681300.0
91941,13027,1698.0,758.0,684900.0
91942,17945,1688.0,585.0,578600.0
91945,9528,1477.0,585.0,478800.0
91950,18849,1333.0,423.0,450700.0
91962,1191,1850.0,554.0,433300.0
91977,20291,1664.0,534.0,493000.0
91978,3383,2050.0,1106.0,454100.0
92003,1661,1786.0,1131.0,720300.0
