ZIP Code,new_policies,renewed_policies,nonrenewed_policies,total_units_x,median_home_value,Avg_Median_Income_2018_2021,earned_premium,earned_exposure,expiring_policies,Climate_Disasters_Avf_10yr,New_and_Renewed_to_Nonrenewed_Ratio,New_and_Renewed_to_Total_Units_Ratio,Housing_Affordability_Ratio,Relative_Housing_Cost_Index,Premium_to_Exposure_Ratio,Nonrenewal_Rate,Renewal_Resilience,market_units,fair_plan_units,total_units_y,pct_market,pct_fair_plan,exposure_22
90001,3162,22127,2853,9017,425200.0,45674.5,15005153,34015,24980,0.0,8.864002804065896,2.8045913274925143,9.309352045452057,39629.81563929518,441.13341173011906,0.1142113690952762,0.8857886309047238,6913,2104,9017,0.7666629699456582,0.2333370300543418,532891886
90002,3448,21908,3113,7864,411500.0,40274.75,15336299,31620,25021,0.0,8.14519755862512,3.2243133265513735,10.217319784728645,38808.013970204614,485.0189437065149,0.1244154909875704,0.8755845090124296,6534,1330,7864,0.8308748728382502,0.1691251271617497,391005676
90003,4525,26933,3971,10650,430800.0,41944.25,20549601,40859,30904,0.0,7.921934021657013,2.9538028169014083,10.270776089690482,40473.13875384601,502.9394013558824,0.128494693243593,0.8715053067564069,8716,1934,10650,0.8184037558685446,0.1815962441314554,517188602
90004,2182,15683,2138,5205,1148400.0,51537.75,39605615,40942,17821,0.0,8.355940130963518,3.4322766570605188,22.28269569393309,105842.63679606227,967.3590689267744,0.1199708209415857,0.8800291790584143,4710,495,5205,0.904899135446686,0.0951008645533141,191648836
90005,521,3357,509,1096,964700.0,40237.75,13665743,22208,3866,0.0,7.618860510805501,3.5383211678832116,23.97499860205901,90987.452005901,615.3522604466859,0.1316606311433005,0.8683393688566994,996,100,1096,0.9087591240875912,0.0912408759124087,54169330
90006,1224,6790,1089,3238,716900.0,37731.5,10671112,22738,7879,0.0,7.359044995408632,2.4749845583693637,19.000039754581717,68028.36916351541,469.30741490016715,0.1382155095824343,0.8617844904175657,2402,836,3238,0.7418159357628166,0.2581840642371834,235567228
90007,1143,7147,991,3097,717300.0,29096.0,10749071,31347,8138,0.0,8.365287588294652,2.6767839845011303,24.652873247181745,69787.42523906431,342.9058921108878,0.1217743917424428,0.8782256082575571,2369,728,3097,0.7649338069099129,0.2350661930900872,199358232
90008,2012,17624,1903,5018,781600.0,44970.0,26759003,29933,19527,0.0,10.318444561219128,3.9131127939418096,17.38047587280409,72952.9749918137,893.9632846690943,0.0974548061658216,0.9025451938341784,4774,244,5018,0.9513750498206456,0.0486249501793543,116575448
90011,5015,30290,4442,13585,452100.0,42409.0,24815880,49843,34732,0.0,7.94799639801891,2.598822230401178,10.660473012803886,42430.3222011732,497.88094617097687,0.1278935851664171,0.8721064148335829,10249,3336,13585,0.7544350386455649,0.245564961354435,834345596
90012,296,2660,279,914,633000.0,48121.25,8739469,33407,2939,0.0,10.594982078853048,3.2341356673960613,13.154271761435956,58711.79560801689,261.6059209147783,0.094930248383804,0.905069751616196,827,87,914,0.9048140043763676,0.0951859956236323,25670000
90013,45,327,44,98,664800.0,21864.5,4049561,12904,371,0.0,8.454545454545455,3.795918367346939,30.4054517597018,66529.1011645087,313.82214817110975,0.1185983827493261,0.8814016172506739,98,0,98,1.0,0.0,1714013
90015,217,1379,228,541,715000.0,46177.75,10259786,31702,1607,0.0,7.0,2.9500924214417745,15.48364742760312,66571.98634693526,323.63213677370516,0.1418792781580584,0.8581207218419415,433,108,541,0.800369685767098,0.199630314232902,39756325
90016,3333,24413,3064,7975,677500.0,49753.0,27547927,41956,27477,0.0,9.055483028720626,3.4791222570532914,13.617269310393343,62645.48290944174,656.5908809228716,0.1115114459366015,0.8884885540633984,7218,757,7975,0.905078369905956,0.0949216300940438,236411380
90017,107,493,89,213,697100.0,37126.25,5263437,23994,582,0.0,6.741573033707865,2.816901408450704,18.77647217265412,66251.16232782807,219.36471617904476,0.1529209621993127,0.8470790378006873,192,21,213,0.9014084507042254,0.0985915492957746,7131581
90018,3082,21282,2794,7705,704300.0,48167.75,23537515,35078,24076,0.0,8.720114531138153,3.16210253082414,14.621816464335575,65319.13686746586,671.0050458977137,0.1160491776042531,0.8839508223957468,6469,1236,7705,0.8395846852693056,0.1604153147306943,398532989
90019,3923,27316,3714,9202,1033900.0,57235.75,41664526,51918,31030,0.0,8.411147011308563,3.3948054770702023,18.06388489711413,94377.56555045352,802.506375438191,0.1196906219787302,0.8803093780212697,8223,979,9202,0.8936100847641817,0.1063899152358183,353309012
90020,350,2746,365,804,650300.0,49198.0,18714748,24431,3111,0.0,8.482191780821918,3.850746268656717,13.218016992560674,60192.852691127584,766.0246408251811,0.117325618772099,0.882674381227901,769,35,804,0.9564676616915424,0.0435323383084577,25233833
90022,3482,33260,3212,10929,471000.0,49516.0,18683059,44507,36472,0.0,11.438978829389788,3.361881233415683,9.512076904434933,43570.56172950277,419.7779899791044,0.088067558675148,0.911932441324852,9614,1315,10929,0.879677921127276,0.1203220788727239,347293084
90023,2049,16768,1893,6301,479600.0,44641.0,10755349,26197,18661,0.0,9.940306391970417,2.9863513727979685,10.74348692905625,44795.6027903038,410.55651410466845,0.1014415090295268,0.8985584909704731,4988,1313,6301,0.7916203777178226,0.2083796222821774,325600729
90024,1235,11319,1328,3049,1231000.0,64981.75,62506346,53336,12647,0.0,9.453313253012048,4.117415546080682,18.94378036910363,111082.4181763455,1171.9353907304635,0.1050051395587886,0.8949948604412113,3027,22,3049,0.9927845195145948,0.007215480485405,26971407
90025,1222,10779,1192,2886,905900.0,92294.75,31355528,60486,11971,0.0,10.067953020134228,4.158350658350658,9.815292852518697,79237.33057918392,518.3931488278279,0.0995739704285356,0.9004260295714643,2833,53,2886,0.9816354816354816,0.0183645183645183,23389032
90026,4099,30659,3833,10238,962100.0,65990.0,38903243,61431,34492,0.0,9.068092877641536,3.394999023246728,14.579481739657524,86697.0883383006,633.2835701844346,0.1111272179056013,0.8888727820943987,9124,1114,10238,0.8911896854854464,0.1088103145145536,299533627
90027,2527,19412,2419,5671,1287200.0,70261.25,48118983,49706,21831,0.0,9.069450186027284,3.868629871274907,18.320197833087228,115340.75276446334,968.0719229066914,0.1108057349640419,0.889194265035958,5380,291,5671,0.9486862987127492,0.0513137012872509,227532892
90028,414,2325,402,807,723000.0,48141.0,9146045,32693,2727,0.0,6.813432835820896,3.3940520446096656,15.018383498473234,67056.89212283221,279.755452237482,0.1474147414741474,0.8525852585258525,748,59,807,0.9268897149938042,0.0731102850061957,19396769
90029,1093,7555,1000,2790,898400.0,44346.5,9462226,20402,8555,0.0,8.648,3.099641577060932,20.258644988894275,83964.27204132918,463.7891383197726,0.1168907071887784,0.8831092928112215,2423,367,2790,0.8684587813620072,0.1315412186379928,99631368
90031,1968,17301,1761,5969,616900.0,49304.25,15247290,28255,19062,0.0,10.942078364565589,3.2281789244429553,12.512105954354848,57089.893019726274,539.6315696336932,0.0923827510229776,0.9076172489770225,5094,875,5969,0.8534092812866477,0.1465907187133523,236368301
90032,3240,27438,3063,8159,605400.0,58424.5,22306223,38419,30501,0.0,10.015670910871696,3.7600196102463537,10.362091245967015,55159.26549318186,580.6039459642365,0.1004229369528867,0.8995770630471132,7497,662,8159,0.9188626057114844,0.0811373942885157,204182029
90033,1743,13034,1640,5104,538900.0,41798.5,9936703,21974,14674,0.0,9.010365853658536,2.895180250783699,12.892807158151609,50645.56540124029,452.20273960134705,0.1117623006678479,0.8882376993321521,4107,997,5104,0.8046630094043887,0.1953369905956113,238028522
90034,2165,18900,2143,5181,1152500.0,79068.0,31369570,57385,21043,0.0,9.829678021465236,4.065817409766455,14.576061111954267,102189.52906981688,546.6510412128605,0.1018390913843083,0.8981609086156916,5072,109,5181,0.9789615904265586,0.0210384095734414,44547520
90035,2037,15402,2012,4304,1494600.0,92452.0,32753730,36492,17414,0.0,8.667495029821074,4.051812267657993,16.166226798771255,130710.32455058908,897.5591910555738,0.1155392213161823,0.8844607786838177,4215,89,4304,0.97932156133829,0.02067843866171,43397510
90036,1761,12840,1752,3831,1634700.0,83430.0,38774782,58738,14592,0.0,8.33390410958904,3.8112764291307752,19.593671341244157,144258.22054079716,660.1311246552488,0.1200657894736842,0.8799342105263158,3739,92,3831,0.9759853824066824,0.0240146175933176,63471994
90037,3280,19294,2898,8426,502000.0,38088.25,18246165,32967,22192,0.0,7.789510006901312,2.6790885354854024,13.17991769115147,47593.489641522385,553.4675584675584,0.1305875991348233,0.8694124008651767,6424,2002,8426,0.762402088772846,0.237597911227154,539903171
90038,878,5148,808,1790,945000.0,46745.5,8845120,20622,5956,0.0,7.457920792079208,3.3664804469273744,20.215849653977383,87886.75646726257,428.9166909126176,0.1356615177971793,0.8643384822028207,1628,162,1790,0.9094972067039108,0.0905027932960893,39805291
90039,3118,25960,2920,7624,972900.0,90974.75,32980369,42198,28880,0.0,9.958219178082192,3.8140083945435466,10.694176131289176,85205.0501411777,781.562372624295,0.1011080332409972,0.8988919667590027,7249,375,7624,0.950813221406086,0.0491867785939139,127146068
90040,813,7439,744,2248,452100.0,51291.75,4444889,9644,8183,0.0,11.091397849462366,3.670818505338078,8.814282998727865,41686.317296691646,460.8968270427209,0.0909202004154955,0.9090797995845044,2070,178,2248,0.9208185053380784,0.0791814946619217,53028728
90041,2434,22054,2221,6207,886800.0,88197.5,24519856,30862,24275,0.0,11.025664115263394,3.94522313516997,10.0547067660648,77875.99872167666,794.4999027930788,0.0914933058702368,0.9085066941297631,5955,252,6207,0.9594006766553892,0.0405993233446109,116748568
90043,4315,35756,3958,10520,684500.0,54778.25,39306922,46925,39714,0.0,10.124052551793834,3.8090304182509502,12.49583548214848,62734.57589612394,837.6541715503463,0.0996625875006295,0.9003374124993705,9830,690,10520,0.9344106463878328,0.0655893536121673,269200641
90044,5932,41702,5253,14745,461200.0,38278.5,33137277,59740,46955,0.0,9.067961165048544,3.2305188199389625,12.048538997087135,43704.688120467006,554.6916136591898,0.1118730699606005,0.8881269300393995,12618,2127,14745,0.8557477110885046,0.1442522889114954,599579781
90045,3499,34001,3439,8996,1103500.0,106967.0,40654085,61170,37440,0.0,10.904332654841523,4.168519341929747,10.316265764207651,95291.34132104085,664.6082229851235,0.0918536324786324,0.9081463675213676,8968,28,8996,0.9968875055580256,0.0031124944419742,18919871
90046,3616,20113,3469,6664,1290400.0,72388.0,81206223,75834,23582,0.0,6.840299798212741,3.5607743097238895,17.826159031883737,115319.3517467309,1070.8418783131576,0.1471037231786956,0.8528962768213044,4814,1850,6664,0.7223889555822329,0.2776110444177671,2426873070
