,ZIP,Avg_Percentage_2018_2021,Avg_Change_2018_2021,Total_Change_2018_2021
0,90001,48.55,-2.566666666666665,-7.699999999999996
1,90002,48.55,-2.566666666666665,-7.699999999999996
2,90003,48.55,-2.566666666666665,-7.699999999999996
3,90004,48.55,-2.566666666666665,-7.699999999999996
4,90005,48.55,-2.566666666666665,-7.699999999999996
5,90006,48.55,-2.566666666666665,-7.699999999999996
6,90007,48.55,-2.566666666666665,-7.699999999999996
7,90008,48.55,-2.566666666666665,-7.699999999999996
8,90009,48.55,-2.566666666666665,-7.699999999999996
9,90010,48.55,-2.566666666666665,-7.699999999999996
10,90011,48.55,-2.566666666666665,-7.699999999999996
11,90012,48.55,-2.566666666666665,-7.699999999999996
12,90013,48.55,-2.566666666666665,-7.699999999999996
13,90014,48.55,-2.566666666666665,-7.699999999999996
14,90015,48.55,-2.566666666666665,-7.699999999999996
15,90016,48.55,-2.566666666666665,-7.699999999999996
16,90017,48.55,-2.566666666666665,-7.699999999999996
17,90018,48.55,-2.566666666666665,-7.699999999999996
18,90019,48.55,-2.566666666666665,-7.699999999999996
19,90020,48.55,-2.566666666666665,-7.699999999999996
20,90021,48.55,-2.566666666666665,-7.699999999999996
21,90022,48.55,-2.566666666666665,-7.699999999999996
22,90023,48.55,-2.566666666666665,-7.699999999999996
23,90024,48.55,-2.566666666666665,-7.699999999999996
24,90025,48.55,-2.566666666666665,-7.699999999999996
25,90026,48.55,-2.566666666666665,-7.699999999999996
26,90027,48.55,-2.566666666666665,-7.699999999999996
27,90028,48.55,-2.566666666666665,-7.699999999999996
28,90029,48.55,-2.566666666666665,-7.699999999999996
29,90030,48.55,-2.566666666666665,-7.699999999999996
30,90031,48.55,-2.566666666666665,-7.699999999999996
31,90032,48.55,-2.566666666666665,-7.699999999999996
32,90033,48.55,-2.566666666666665,-7.699999999999996
33,90034,48.55,-2.566666666666665,-7.699999999999996
34,90035,48.55,-2.566666666666665,-7.699999999999996
35,90036,48.55,-2.566666666666665,-7.699999999999996
36,90037,48.55,-2.566666666666665,-7.699999999999996
37,90038,48.55,-2.566666666666665,-7.699999999999996
38,90039,48.55,-2.566666666666665,-7.699999999999996
39,90040,48.55,-2.566666666666665,-7.699999999999996
40,90041,48.55,-2.566666666666665,-7.699999999999996
41,90042,48.55,-2.566666666666665,-7.699999999999996
42,90043,48.55,-2.566666666666665,-7.699999999999996
43,90044,48.55,-2.566666666666665,-7.699999999999996
