,ZIP Code,new_policies,renewed_policies,company_nonrenewed,owner_nonrenewed,nonrenewed_policies,expiring_policies,pct_nonrenewed_policies,pct_nonrenewed_owner,pct_nonrenewed_company,ratio_new_to_nonrenewed
0,90001,3162,22127,1780,1073,2853,24980,0.11421136909527622,0.04295436349079263,0.07125700560448359,1.1083070452155626
1,90002,3448,21908,2091,1022,3113,25021,0.12441549098757045,0.0408456896207186,0.08356980136685184,1.1076132348217154
2,90003,4525,26933,2667,1304,3971,30904,0.12849469324359306,0.04219518508930883,0.08629950815428424,1.1395114580710148
3,90004,2182,15683,1704,434,2138,17821,0.11997082094158577,0.02435329106110768,0.09561752988047809,1.0205799812909262
4,90005,521,3357,384,125,509,3866,0.13166063114330057,0.03233316088980859,0.09932747025349198,1.0235756385068762
5,90006,1224,6790,750,339,1089,7879,0.1382155095824343,0.04302576469095063,0.09518974489148369,1.1239669421487604
6,90007,1143,7147,723,268,991,8138,0.12177439174244287,0.03293192430572622,0.08884246743671664,1.153380423814329
7,90008,2012,17624,1528,375,1903,19527,0.09745480616582168,0.01920417882931326,0.07825062733650842,1.0572779821334735
8,90010,20,122,24,3,27,149,0.18120805369127516,0.020134228187919462,0.1610738255033557,0.7407407407407407
9,90011,5015,30290,2892,1550,4442,34732,0.12789358516641713,0.044627432914891164,0.08326615225152598,1.128995947771274
10,90012,296,2660,225,54,279,2939,0.09493024838380401,0.01837359646138142,0.07655665192242259,1.060931899641577
11,90013,45,327,39,5,44,371,0.11859838274932614,0.013477088948787063,0.10512129380053908,1.0227272727272727
12,90014,25,145,23,1,24,169,0.14201183431952663,0.005917159763313609,0.13609467455621302,1.0416666666666667
13,90015,217,1379,179,49,228,1607,0.14187927815805848,0.030491599253266957,0.11138767890479154,0.9517543859649122
14,90016,3333,24413,2430,634,3064,27477,0.11151144593660152,0.02307384357826546,0.08843760235833606,1.087793733681462
15,90017,107,493,67,22,89,582,0.15292096219931273,0.037800687285223365,0.11512027491408934,1.202247191011236
16,90018,3082,21282,2101,693,2794,24076,0.11604917760425319,0.0287838511380628,0.0872653264661904,1.1030780243378668
17,90019,3923,27316,2919,795,3714,31030,0.11969062197873026,0.025620367386400257,0.09407025459233,1.0562735595045774
18,90020,350,2746,297,68,365,3111,0.117325618772099,0.02185792349726776,0.09546769527483125,0.958904109589041
19,90021,33,408,32,16,48,456,0.10526315789473684,0.03508771929824561,0.07017543859649122,0.6875
20,90022,3482,33260,2227,985,3212,36472,0.08806755867514805,0.027007019083132265,0.061060539592015795,1.0840597758405977
21,90023,2049,16768,1266,627,1893,18661,0.10144150902952682,0.03359948555811586,0.06784202347141097,1.0824088748019018
22,90024,1235,11319,1086,242,1328,12647,0.10500513955878865,0.01913497272080335,0.08587016683798529,0.9299698795180723
23,90025,1222,10779,990,202,1192,11971,0.09957397042853562,0.016874112438392784,0.08269985799014284,1.0251677852348993
24,90026,4099,30659,3145,688,3833,34492,0.1111272179056013,0.0199466542966485,0.0911805636089528,1.0693973388990348
25,90027,2527,19412,1957,462,2419,21831,0.11080573496404196,0.021162566991892263,0.08964316797214969,1.0446465481603968
