ZIP,DATE,DISASTER
90201,7,Fire
90220,7,Fire
90221,7,Fire
90222,7,Fire
90223,7,Fire
90224,7,Fire
90239,7,Fire
90240,7,Fire
90241,7,Fire
90242,7,Fire
90247,7,Fire
90248,7,Fire
90249,7,Fire
90250,7,Fire
90251,7,Fire
90260,7,Fire
90261,7,Fire
90262,7,Fire
90263,7,Fire
90264,7,Fire
90265,7,Fire
90270,7,Fire
90290,7,Fire
90291,7,Fire
90294,7,Fire
90301,7,Fire
90302,7,Fire
90303,7,Fire
90304,7,Fire
90305,7,Fire
90306,7,Fire
90307,7,Fire
90308,7,Fire
90309,7,Fire
90310,7,Fire
90311,7,Fire
90312,7,Fire
90313,7,Fire
90397,7,Fire
90398,7,Fire
90501,7,Fire
90502,7,Fire
90503,7,Fire
90504,7,Fire
90505,7,Fire
90506,7,Fire
90507,7,Fire
90508,7,Fire
90509,7,Fire
90510,7,Fire
90601,7,Fire
90602,7,Fire
90603,7,Fire
90604,7,Fire
90605,7,Fire
90606,7,Fire
90607,7,Fire
90608,7,Fire
90609,7,Fire
90610,7,Fire
90612,7,Fire
90640,7,Fire
90650,7,Fire
90651,7,Fire
90652,7,Fire
90659,7,Fire
90701,7,Fire
90702,7,Fire
90703,7,Fire
90704,7,Fire
90706,7,Fire
90707,7,Fire
90711,7,Fire
90712,7,Fire
90713,7,Fire
90714,7,Fire
90715,7,Fire
90717,7,Fire
90723,7,Fire
90744,7,Fire
90745,7,Fire
90746,7,Fire
90747,7,Fire
90748,7,Fire
90749,7,Fire
90895,7,Fire
91001,7,Fire
91003,7,Fire
91006,7,Fire
91007,7,Fire
91009,7,Fire
91010,7,Fire
91016,7,Fire
91017,7,Fire
91020,7,Fire
91021,7,Fire
91040,7,Fire
91041,7,Fire
91042,7,Fire
91043,7,Fire
91066,7,Fire
91077,7,Fire
91101,7,Fire
91102,7,Fire
91103,7,Fire
91104,7,Fire
91105,7,Fire
91106,7,Fire
91107,7,Fire
91109,7,Fire
91110,7,Fire
91114,7,Fire
91115,7,Fire
91116,7,Fire
91117,7,Fire
91121,7,Fire
91123,7,Fire
91124,7,Fire
91125,7,Fire
91126,7,Fire
91129,7,Fire
91131,7,Fire
91182,7,Fire
91184,7,Fire
91185,7,Fire
91188,7,Fire
91189,7,Fire
91191,7,Fire
91199,7,Fire
91201,7,Fire
91202,7,Fire
91203,7,Fire
91204,7,Fire
91205,7,Fire
91206,7,Fire
91207,7,Fire
91208,7,Fire
91209,7,Fire
91210,7,Fire
91221,7,Fire
91222,7,Fire
91225,7,Fire
91226,7,Fire
91302,7,Fire
91306,7,Fire
91310,7,Fire
91311,7,Fire
91313,7,Fire
91316,7,Fire
91321,7,Fire
91322,7,Fire
91324,7,Fire
91325,7,Fire
91327,7,Fire
91328,7,Fire
91329,7,Fire
91330,7,Fire
91331,7,Fire
91333,7,Fire
91334,7,Fire
91335,7,Fire
91337,7,Fire
91342,7,Fire
91354,7,Fire
91355,7,Fire
91356,7,Fire
91357,7,Fire
91372,7,Fire
91384,7,Fire
91385,7,Fire
91392,7,Fire
91396,7,Fire
91416,7,Fire
91426,7,Fire
91436,7,Fire
91501,7,Fire
91502,7,Fire
91503,7,Fire
91504,7,Fire
91505,7,Fire
