,ZIP Code,growth_pol_23_24,policies_24,growth_pol_22_23,policies_23,growth_pol_21_22,policies_22,growth_pol_20_21,policies_21,policies_20,growth_exp_23_24,exposure_24,growth_exp_22_23,exposure_23,growth_exp_21_22,exposure_22,growth_exp_20_21,exposure_21,exposure_20
0,94501,0.333,104,0.04,78,-0.063,75,0.0,80,80,0.676,98431342,0.179,58719416,0.137,49797731,0.091,43791971,40143917
1,94502,2.5,7,0.0,2,1.0,2,0.0,1,1,13.274,6880050,0.025,481983,1.85,470279,0.0,165000,165000
2,94536,2.105,59,0.727,19,0.222,11,-0.1,9,10,1.995,40642190,0.852,13571624,0.307,7327808,0.264,5605823,4435256
3,94538,1.4,24,0.667,10,0.2,6,0.25,5,4,1.445,15574256,1.647,6370385,0.771,2406677,0.352,1358996,1004964
4,94539,2.471,59,1.125,17,1.667,8,-0.25,3,4,1.934,79814473,0.983,27207162,2.696,13722261,-0.094,3712311,4096084
5,94541,0.554,115,0.121,74,0.048,66,-0.137,63,73,1.321,78048156,0.204,33625350,0.317,27934720,-0.012,21218575,21470794
6,94542,1.905,122,0.4,42,0.0,30,0.429,30,21,2.559,183062649,0.536,51431609,0.173,33482333,0.925,28540530,14825692
7,94544,2.684,70,0.357,19,-0.125,14,-0.111,16,18,5.075,50999432,0.413,8395226,0.153,5942361,-0.003,5155708,5173433
8,94545,0.813,29,0.333,16,-0.294,12,-0.19,17,21,1.561,17229671,0.752,6728891,-0.307,3839754,-0.167,5544735,6657195
9,94546,2.457,121,1.188,35,-0.111,16,-0.053,18,19,3.093,136606590,1.466,33376630,0.013,13531999,0.31,13351934,10194201
10,94550,0.22,50,0.242,41,0.222,33,0.0,27,27,0.356,58316207,0.506,43007670,0.761,28554408,0.275,16214824,12721208
11,94551,3.704,127,0.8,27,0.154,15,0.0,13,13,3.919,128569497,1.242,26139322,1.359,11659902,0.071,4941740,4612847
12,94552,1.014,290,0.371,144,0.4,105,0.23,75,61,1.223,398830467,0.584,179423773,0.657,113240416,0.386,68360224,49307778
13,94555,4.25,21,0.333,4,0.0,3,0.0,3,3,6.053,14599287,0.792,2069814,-0.117,1154945,0.382,1307357,946270
14,94560,1.333,14,-0.143,6,-0.125,7,-0.2,8,10,4.939,8034584,-0.274,1352944,0.195,1863128,-0.199,1558772,1945791
15,94566,5.75,189,1.0,28,0.4,14,0.111,10,9,6.006,375143595,1.544,53545555,0.781,21047835,0.105,11820533,10698579
16,94568,5.6,99,1.143,15,0.4,7,1.5,5,2,4.919,131992902,1.587,22300854,0.727,8621366,3.335,4991591,1151468
17,94577,3.2,84,0.111,20,-0.357,18,0.12,28,25,4.629,71920786,0.511,12776348,-0.293,8455554,0.595,11957877,7497925
18,94578,2.7,37,0.111,10,-0.357,9,0.167,14,12,4.203,28047000,0.238,5390195,-0.157,4353907,0.25,5166994,4132542
19,94579,10.5,23,0.0,2,-0.333,2,-0.25,3,4,17.715,13317455,0.076,711601,-0.144,661396,-0.156,772874,915923
20,94580,1.5,15,-0.143,6,0.0,7,0.0,7,7,3.49,11185859,-0.078,2491044,0.181,2701040,-0.058,2287906,2428037
21,94586,0.574,74,0.205,47,0.444,39,-0.036,27,28,1.041,98953005,0.278,48476065,0.706,37945099,0.202,22241151,18503524
22,94587,6.571,53,0.4,7,-0.375,5,0.0,8,8,7.115,43663448,0.72,5380456,-0.325,3127713,0.134,4631330,4083549
23,94588,2.421,130,0.81,38,1.625,21,0.6,8,5,2.22,245076326,0.76,76111261,2.476,43242037,1.125,12438868,5853350
24,94601,0.409,186,0.008,132,-0.037,131,-0.099,136,151,1.21,127457161,0.112,57662316,0.104,51834144,-0.077,46939152,50864582
25,94602,1.213,166,0.087,75,0.03,69,0.367,67,49,1.642,203434127,0.234,77014276,0.241,62404339,0.967,50280956,25562400
26,94603,0.149,77,-0.056,67,-0.09,71,-0.114,78,88,0.454,41173420,0.042,28322753,0.047,27170395,-0.069,25944050,27865326
27,94605,0.749,327,0.176,187,0.032,159,0.273,154,121,1.052,335159855,0.316,163338669,0.188,124107237,0.602,104428684,65195332
28,94606,1.037,110,-0.115,54,0.0,61,-0.116,61,69,2.69,96460633,0.008,26137689,0.171,25921119,-0.147,22142816,25966020
29,94607,0.152,76,0.1,66,-0.104,60,-0.13,67,77,0.721,63325065,0.41,36794445,-0.022,26104063,-0.042,26700493,27860483
30,94608,0.314,92,0.111,70,-0.045,63,-0.205,66,83,0.892,71286979,0.249,37670632,0.043,30149720,-0.06,28901465,30756812
31,94609,0.628,70,0.103,43,-0.093,39,-0.065,43,46,1.644,68406818,0.503,25868025,-0.128,17206558,0.035,19725845,19062243
32,94610,1.522,58,0.533,23,0.154,15,-0.133,13,15,2.229,107325449,1.139,33233563,0.542,15535515,-0.063,10076773,10751877
33,94611,0.426,1666,0.167,1168,0.265,1001,0.446,791,547,0.581,2799381369,0.255,1770997773,0.462,1410858133,0.658,965019846,581900285
34,94612,0.235,21,0.214,17,-0.067,14,-0.118,15,17,0.412,15192183,0.645,10756642,0.002,6540668,-0.08,6529178,7094209
35,94618,4.895,112,0.727,19,-0.083,11,-0.077,12,13,8.218,202246190,1.048,21941452,0.084,10711441,-0.066,9879746,10580138
36,94619,0.806,224,0.265,124,0.153,98,-0.034,85,88,1.036,312600302,0.435,153547579,0.275,106978089,0.247,83879119,67281226
37,94621,0.5,141,-0.011,94,-0.05,95,-0.065,100,107,1.207,84214704,0.144,38152427,0.028,33337385,0.034,32416692,31364734
38,94702,1.579,49,0.118,19,-0.056,17,0.0,18,18,2.633,48622813,0.402,13382612,-0.132,9543514,0.411,10997488,7794352
39,94703,1.081,77,0.37,37,0.0,27,-0.036,27,28,2.2,79516430,0.674,24847274,0.123,14844727,-0.03,13223686,13629825
40,94704,1.03,67,0.5,33,0.158,22,0.267,19,15,1.017,96315854,0.488,47742254,0.302,32080263,0.674,24644527,14722761
41,94705,1.389,258,0.102,108,0.42,98,0.5,69,46,1.968,550493173,0.091,185481047,0.592,169939064,0.781,106732330,59914489
42,94706,2.538,46,0.857,13,-0.222,7,0.5,9,6,3.338,43136876,1.273,9945036,-0.304,4376099,1.668,6285093,2355472
43,94708,1.133,386,0.293,181,0.321,140,0.514,106,70,1.534,689288497,0.366,272025543,0.546,199111624,0.836,128819199,70154333
44,94709,1.188,35,0.067,16,0.071,15,-0.125,14,16,2.349,48248967,0.201,14406310,0.107,11996208,-0.01,10834718,10940480
45,94710,0.08,27,0.087,25,-0.08,23,-0.038,25,26,0.273,20287897,0.261,15935432,0.033,12635622,0.02,12228077,11984784
46,94720,0.0,1,0.0,0,0.0,0,0.0,0,0,0.0,5000,0.0,0,0.0,0,0.0,0,0
47,95364,0.206,152,0.068,126,0.229,118,0.011,96,95,0.264,96688068,0.146,76468361,0.405,66700737,0.147,47482818,41411076
