zip,2017,2018,2019,2020,2021,2022,2023
90001,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90002,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90003,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90004,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90005,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90006,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90007,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90008,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90009,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90010,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90011,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90012,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90013,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90014,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90015,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90016,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90017,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90018,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90019,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90020,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90021,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90022,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90023,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90024,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90025,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90026,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90027,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90028,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90029,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90030,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90031,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90032,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90033,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90034,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90035,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90036,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90037,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90038,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90039,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90040,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90041,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90042,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90043,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90044,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90045,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90046,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90047,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90048,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90049,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90050,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90051,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90052,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90053,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90054,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90055,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90056,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90057,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90058,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90059,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90060,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90061,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90062,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90063,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90064,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90065,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90066,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90067,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90068,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90069,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90070,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90071,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90072,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90073,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90074,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90075,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90076,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90077,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90078,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90079,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90080,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90081,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90082,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90083,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90084,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90086,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90087,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90088,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90089,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90090,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90091,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90093,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90094,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90095,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90096,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90099,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90101,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90102,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90103,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90134,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90189,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90201,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90202,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90209,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90210,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90211,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90212,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90213,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90220,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90221,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90222,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90223,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90224,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90230,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90231,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90232,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90233,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90239,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90240,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90241,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90242,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90245,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90247,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90248,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90249,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90250,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90251,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90254,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90255,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90260,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90261,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90262,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90263,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90264,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90265,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90266,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90267,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90270,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90272,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90274,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90275,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90277,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90278,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90280,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90290,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90291,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90292,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90293,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90294,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90295,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90296,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90301,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90302,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90303,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90304,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90305,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90306,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90307,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90308,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90309,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90310,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90311,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90312,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90313,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90397,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90398,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90401,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90402,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90403,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90404,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90405,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90406,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90407,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90408,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90409,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90410,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90411,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90501,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90502,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90503,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90504,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90505,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90506,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90507,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90508,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90509,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90510,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90601,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90602,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90603,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90604,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90605,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90606,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90607,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90608,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90609,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90610,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90612,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90620,62.1,61.7,61.0,57.6,53.6,50.2,46.4
90621,62.1,61.7,61.0,57.6,53.6,50.2,46.4
90622,62.1,61.7,61.0,57.6,53.6,50.2,46.4
90623,62.1,61.7,61.0,57.6,53.6,50.2,46.4
90624,62.1,61.7,61.0,57.6,53.6,50.2,46.4
90630,62.1,61.7,61.0,57.6,53.6,50.2,46.4
90631,62.1,61.7,61.0,57.6,53.6,50.2,46.4
90632,62.1,61.7,61.0,57.6,53.6,50.2,46.4
90633,62.1,61.7,61.0,57.6,53.6,50.2,46.4
90637,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90638,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90639,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90640,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90650,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90651,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90652,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90659,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90660,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90661,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90662,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90670,51.8,51.4,51.3,47.8,43.7,39.6,35.4
90671,51.8,51.4,51.3,47.8,43.7,39.6,35.4
