,State,Zip Code,< -$100,$-100 to $-90,$-90 to $-80,$-80 to $-70,$-70 to $-60,$-60 to $-50,$-50 to $-40,$-40 to $-30,$-30 to $-20,$-20 to $-10,$-10 to $0,$0 to $10,$10 to $20,$20 to $30,$30 to $40,$40 to $50,$50 to $60,$60 to $70,$70 to $80,$80 to $90,$90 to $100,> $100,Grand Total
2,CA,90004,1.0,,,,2.0,,,,1.0,2.0,1.0,70.0,2.0,,,,,,,,,,79.0
3,CA,90005,,,,,,,,,,,,8.0,2.0,,,,,,,,,,10.0
4,CA,90006,,,,,,,,,,,,2.0,7.0,,,,,,,,,,9.0
5,CA,90007,,,,,,,,,,,,12.0,,,,,,,,,,,12.0
6,CA,90008,,,,,,,,,,,,32.0,,,,,,,,,,,32.0
10,CA,90016,,,,,,,,,,1.0,,233.0,19.0,8.0,1.0,2.0,,,,1.0,,,265.0
12,CA,90018,1.0,,,,,,,,,,,20.0,,,,,,,,,,,21.0
13,CA,90019,4.0,,,1.0,,,,1.0,,1.0,2.0,105.0,253.0,46.0,1.0,,,,,,,,414.0
14,CA,90020,,,,,,,,,,,,31.0,,,,,,,,,,,31.0
17,CA,90024,,,,,,,,,,2.0,13.0,45.0,,,,,,,,,,,60.0
18,CA,90025,2.0,,,,,,,,,5.0,1.0,22.0,2.0,,,,,,,,,,32.0
19,CA,90026,,,,,,,,,,,6.0,47.0,,,,,,,,,,,53.0
20,CA,90027,3.0,,,,,,,1.0,,2.0,22.0,78.0,,,,,,,,,,,106.0
21,CA,90028,,,,,,,,,,,,8.0,,,,,,,,,,,8.0
22,CA,90029,,,,,1.0,2.0,,3.0,7.0,7.0,6.0,13.0,1.0,,,,,,,,,,40.0
23,CA,90031,2.0,,,,,,,,,1.0,1.0,17.0,,,,,,,,,,,21.0
24,CA,90032,,,,,,,,,,,4.0,3.0,,,,,,,,,,,7.0
26,CA,90034,,,,,,,,,,,,38.0,,,,,,,,,,,38.0
27,CA,90035,,,,,,,,,,,,33.0,,,,,,,,,,,33.0
28,CA,90036,,,,,,,,,,,,26.0,,,,,,,,,,,26.0
30,CA,90038,,,,,,,,,,,,8.0,,,,,,,,,,,8.0
31,CA,90039,,,,,1.0,3.0,,1.0,1.0,3.0,17.0,117.0,8.0,4.0,,,,,,,,,155.0
32,CA,90041,,,,,,,,,,,,29.0,,,,,,,,,,,29.0
33,CA,90042,,,,1.0,,,,,,,3.0,31.0,,,,,,,,,,,35.0
34,CA,90043,1.0,,,,1.0,,1.0,4.0,,,,60.0,,,,,,,,,,,67.0
35,CA,90044,,,,,,,,,,,1.0,9.0,,,,,,,,,,,10.0
36,CA,90045,,,,1.0,,,,,,,,23.0,,,,,,,,,,,24.0
37,CA,90046,24.0,1.0,,1.0,5.0,3.0,1.0,3.0,2.0,2.0,17.0,231.0,4.0,,1.0,,,,,,,,295.0
38,CA,90047,,,,,,1.0,3.0,4.0,1.0,,1.0,167.0,,,,,,,,,,,177.0
39,CA,90048,,,,,,,,,,,,56.0,,,,,,,,,,,56.0
40,CA,90049,8.0,,2.0,,1.0,,1.0,3.0,2.0,,18.0,365.0,,1.0,,,,,,,,,401.0
41,CA,90056,,,,,,,,,,,,17.0,,,,,,,,,,,17.0
45,CA,90064,10.0,,2.0,3.0,3.0,7.0,20.0,28.0,24.0,21.0,13.0,168.0,3.0,,,,,,,,,,302.0
46,CA,90065,,,,,,,,,,,,42.0,,,,,,,,,,,42.0
47,CA,90066,,,,,,,,1.0,1.0,,1.0,99.0,,,,,,,,,,,102.0
49,CA,90068,5.0,4.0,,,,,,,,2.0,14.0,206.0,,,1.0,,,,,,,,232.0
50,CA,90069,,,,1.0,,,,,,,15.0,125.0,,1.0,,,,,,,,,142.0
52,CA,90077,13.0,1.0,,,1.0,,1.0,2.0,2.0,4.0,16.0,145.0,18.0,7.0,,,,,,,,,210.0
53,CA,90094,,,,,,,,,,,,12.0,,,,,,,,,,,12.0
54,CA,90201,,,,,,,,,,,,6.0,,,,,,,,,,,6.0
55,CA,90210,13.0,4.0,1.0,,1.0,2.0,2.0,2.0,2.0,1.0,11.0,349.0,2.0,,2.0,3.0,,,,,,,395.0
56,CA,90211,,,,,,,,,,,,9.0,,,,,,,,,,,9.0
57,CA,90212,,,,,,,,,,1.0,,16.0,,,,,,,,,,,17.0
58,CA,90220,,,,,,,,,,,,12.0,,,,,,,,,,,12.0
59,CA,90221,,,,,,,,,,,,19.0,,,,,,,,,,,19.0
60,CA,90222,,,,,,,,,,,,5.0,,,,,,,,,,,5.0
61,CA,90230,,,,,,,,,,,,46.0,,,,,,,,,,,46.0
62,CA,90232,,,,,,,,,,,,22.0,1.0,,,,,,,,,,23.0
63,CA,90240,,,1.0,,1.0,,1.0,,,,,38.0,,,,,,,,,,,41.0
64,CA,90241,,,,,1.0,,,,,,1.0,31.0,,,,,,,,,,,33.0
65,CA,90242,,,,,,,,,,,1.0,16.0,,,,,,,,,,,17.0
66,CA,90245,,,,,,,,,,,,14.0,,,,,,,,,,,14.0
67,CA,90247,,,,,,,,,,,,9.0,,,,,,,,,,,9.0
69,CA,90249,,,,,,,,,,,,5.0,,,,,,,,,,,5.0
70,CA,90250,,,,,,,,,,1.0,,12.0,,,,,,,,,,,13.0
71,CA,90254,,,,,,,,,,,,59.0,,,,,,,,,,,59.0
73,CA,90260,,,,,,,,,,,,6.0,1.0,,,,,,,,,,7.0
74,CA,90262,,,,,,1.0,,8.0,4.0,7.0,6.0,29.0,8.0,8.0,,,,,,,,,71.0
76,CA,90265,403.0,13.0,14.0,8.0,9.0,12.0,12.0,13.0,15.0,10.0,15.0,151.0,36.0,78.0,74.0,9.0,12.0,,,,,,884.0
77,CA,90266,,,,,,,,,,,5.0,106.0,,,,,,,,,,,111.0
78,CA,90272,53.0,1.0,2.0,3.0,2.0,,,6.0,2.0,4.0,9.0,128.0,,,,,,,,,,,210.0
79,CA,90274,7.0,,,,,,,,,,7.0,78.0,,,,,,,,,,,92.0
80,CA,90275,,,1.0,,,,,,,,4.0,48.0,,,,,,,,,,,53.0
81,CA,90277,1.0,,,,,,,,,,,32.0,,,,,,,,,,,33.0
82,CA,90278,,,,,,,,,,,,29.0,,,,,,,,,,,29.0
83,CA,90280,,,,,,,,,,,,11.0,,,,,,,,,,,11.0
84,CA,90290,14.0,1.0,1.0,1.0,1.0,1.0,,1.0,,2.0,2.0,41.0,4.0,3.0,1.0,,,,,,,,73.0
85,CA,90291,,,,,,,,,,1.0,,280.0,6.0,,1.0,,,,,,,,288.0
86,CA,90292,,,,,,,,,,,,107.0,2.0,,,,,,,,,,109.0
87,CA,90293,1.0,,,,,,,,,,,26.0,,,,,,,,,,,27.0
92,CA,90305,,,,,,,,,,,,6.0,,,,,,,,,,,6.0
93,CA,90401,,,,,,,,,,,,9.0,,,,,,,,,,,9.0
94,CA,90402,,,,,2.0,1.0,,,1.0,,1.0,151.0,1.0,,,,,,,,,,157.0
95,CA,90403,,,,,,,,,,,2.0,23.0,,,,,,,,,,,25.0
97,CA,90405,,,,,,,,,,,,55.0,,,,,,,,,,,55.0
98,CA,90501,,,,,,,,,,,,16.0,,,,,,,,,,,16.0
99,CA,90502,,,,,,,,,,,,5.0,,,,,,,,,,,5.0
100,CA,90503,,,,,,,,,,,,15.0,,,,,,,,,,,15.0
101,CA,90504,,,,,,,,,,,,13.0,,,,,,,,,,,13.0
102,CA,90505,,,,,,,,,,,1.0,27.0,,,,,,,,,,,28.0
103,CA,90601,1.0,,,,,,,,,3.0,1.0,11.0,,,,,,,,,,,16.0
105,CA,90603,,1.0,,,,1.0,,,,,,6.0,,1.0,,,,,,,,,9.0
106,CA,90604,,,,,,,,,,,,7.0,,,,,,,,,,,7.0
107,CA,90605,,,,,,,,,,,1.0,9.0,,,,,,,,,,,10.0
108,CA,90606,,,,,,,,1.0,,1.0,11.0,16.0,10.0,1.0,,,,,,,,,40.0
109,CA,90620,,,,,,,,,,,,14.0,,,,,,,,,,,14.0
110,CA,90621,,,,,,,,,,,,14.0,10.0,5.0,,,,,,,,,29.0
111,CA,90623,,,,,,,,,,,,23.0,,,,,,,,,,,23.0
112,CA,90630,,,,,,,1.0,,,2.0,,59.0,,,,,,,,,,,62.0
113,CA,90631,1.0,,2.0,1.0,8.0,1.0,4.0,2.0,1.0,3.0,8.0,65.0,12.0,2.0,,,,,,,,,110.0
114,CA,90638,1.0,,,,1.0,,,,,,,18.0,,,,,,,,,,,20.0
115,CA,90640,,,,,,,,,,,,14.0,,,,,,,,,,,14.0
116,CA,90650,,,,,,,,,,,,25.0,,,,,,,,,,,25.0
117,CA,90660,2.0,,,,1.0,,1.0,,,1.0,,55.0,,,,,,,,,,,60.0
118,CA,90670,,,,,,,,,,,,5.0,,,,,,,,,,,5.0
119,CA,90680,,,,,,,,,,,,7.0,,,,,,,,,,,7.0
121,CA,90703,,,,,,,,,,,,56.0,,,,,,,,,,,56.0
122,CA,90704,6.0,,,,1.0,2.0,,1.0,1.0,,,12.0,3.0,2.0,2.0,,,,,,,,30.0
123,CA,90706,,,,,,,,,,,,35.0,,,,,,,,,,,35.0
124,CA,90710,,,,,,,,,,,,9.0,,,,,,,,,,,9.0
125,CA,90712,,,,,,,,,,,,37.0,,,,,,,,,,,37.0
