,Year,ZIP Code,Earned Premium
0,2018,94501,901497
1,2018,94502,783059
2,2018,94536,1043609
3,2018,94538,738548
4,2018,94539,573613
5,2018,94541,898549
6,2018,94542,110309
7,2018,94544,482346
8,2018,94545,261948
9,2018,94546,392543
10,2018,94550,305551
11,2018,94551,654791
12,2018,94552,301300
13,2018,94555,600936
14,2018,94560,752835
15,2018,94566,394246
16,2018,94568,1641783
17,2018,94577,490891
18,2018,94578,276390
19,2018,94579,73998
20,2018,94580,122400
21,2018,94587,593903
22,2018,94588,672216
23,2018,94601,171544
24,2018,94602,113533
25,2018,94603,83252
26,2018,94605,485037
27,2018,94606,148891
28,2018,94607,1182418
29,2018,94608,1526153
30,2018,94609,234306
31,2018,94610,784874
32,2018,94611,500250
33,2018,94612,440883
34,2018,94618,357377
35,2018,94619,142862
36,2018,94621,5620
37,2018,94702,68412
38,2018,94703,133602
39,2018,94704,112799
40,2018,94705,122983
41,2018,94706,318038
42,2018,94707,13974
43,2018,94708,24546
44,2018,94709,219801
45,2018,94710,87291
46,2018,94720,544
48,2018,95646,123597
49,2018,96120,183
51,2018,95642,20740
52,2018,95644,399
53,2018,95665,872
54,2018,95666,1061
55,2018,95669,525
57,2018,95917,200
58,2018,95926,153551
59,2018,95928,112114
60,2018,95938,289
61,2018,95942,42
62,2018,95948,372
63,2018,95965,479
64,2018,95966,1005
65,2018,95969,60914
66,2018,95973,79040
68,2018,95222,5094
69,2018,95223,70679
70,2018,95228,22686
71,2018,95247,41417
72,2018,95249,1947
73,2018,95252,9507
74,2018,95257,0
76,2018,95932,11010
77,2018,95979,673
79,2018,94505,65423
80,2018,94506,493884
81,2018,94507,68490
82,2018,94509,234094
83,2018,94511,580
84,2018,94513,54876
85,2018,94514,4716
86,2018,94517,263817
87,2018,94518,390568
88,2018,94519,92340
89,2018,94520,445124
90,2018,94521,797889
91,2018,94523,764513
92,2018,94525,8849
93,2018,94526,888760
94,2018,94528,5840
95,2018,94530,86251
96,2018,94531,68903
97,2018,94547,794091
98,2018,94549,175294
99,2018,94553,726418
100,2018,94556,514388
101,2018,94561,26590
102,2018,94563,110331
103,2018,94564,199370
104,2018,94565,348483
105,2018,94572,955
106,2018,94582,1153672
107,2018,94583,654604
108,2018,94595,3208938
109,2018,94596,750131
110,2018,94597,1169039
111,2018,94598,1017747
112,2018,94801,251006
113,2018,94803,185225
114,2018,94804,669901
115,2018,94805,2492
116,2018,94806,441897
118,2018,95531,1116
119,2018,95543,541
120,2018,95548,691
121,2018,95567,168
123,2018,95614,268
124,2018,95619,21672
125,2018,95623,5883
126,2018,95634,208
127,2018,95651,569
128,2018,95656,156
129,2018,95667,27173
130,2018,95672,612
131,2018,95682,205343
132,2018,95684,2613
133,2018,95709,500
134,2018,95735,74
135,2018,95762,60405
136,2018,96142,42801
137,2018,96150,421175
138,2018,96151,1273
139,2018,96156,920
140,2018,96158,276
142,2018,93210,1022
143,2018,93242,449
144,2018,93602,1330
145,2018,93605,2777
146,2018,93611,126525
147,2018,93612,71422
148,2018,93619,5504
149,2018,93621,267
150,2018,93624,58
151,2018,93625,23064
152,2018,93626,1860
153,2018,93630,4366
154,2018,93631,11297
155,2018,93634,35256
156,2018,93646,382
157,2018,93648,252
158,2018,93654,16175
159,2018,93656,890
160,2018,93657,748
161,2018,93662,4163
162,2018,93664,48467
163,2018,93675,1555
164,2018,93702,18988
165,2018,93703,10050
166,2018,93704,255280
167,2018,93705,130167
168,2018,93706,2802
169,2018,93710,91077
170,2018,93711,501530
171,2018,93720,171859
172,2018,93721,62648
173,2018,93722,29360
174,2018,93723,286
175,2018,93725,150
176,2018,93726,182215
177,2018,93727,169901
178,2018,93728,4467
179,2018,93730,1519
180,2018,93737,25
182,2018,95951,196
183,2018,95963,1075
185,2018,95501,23607
186,2018,95503,22308
187,2018,95519,220
188,2018,95521,9767
189,2018,95524,616
190,2018,95525,379
191,2018,95536,510
192,2018,95540,15871
193,2018,95546,1182
194,2018,95560,161
195,2018,95562,277
197,2018,92227,30674
198,2018,92231,24457
199,2018,92243,82698
200,2018,92250,1854
201,2018,92251,39630
202,2018,92257,1061
204,2018,93514,18032
205,2018,93545,7672
207,2018,93203,332
208,2018,93215,13410
209,2018,93225,1219
210,2018,93238,1186
211,2018,93250,4923
212,2018,93252,557
213,2018,93263,651
214,2018,93268,15024
215,2018,93276,494
216,2018,93280,93
217,2018,93285,1831
218,2018,93301,66920
219,2018,93304,6840
220,2018,93305,14012
221,2018,93306,173031
222,2018,93307,11126
223,2018,93308,38674
224,2018,93309,543628
225,2018,93311,66715
226,2018,93312,4519
227,2018,93313,6381
228,2018,93314,1423
229,2018,93501,211
230,2018,93505,7514
231,2018,93523,1892
232,2018,93554,590
233,2018,93555,63804
234,2018,93560,951
235,2018,93561,48572
237,2018,93212,5915
238,2018,93230,22808
239,2018,93245,5558
241,2018,95423,256
242,2018,95426,430
243,2018,95451,544
244,2018,95453,40886
245,2018,95457,1767
246,2018,95458,3316
247,2018,95461,1105
248,2018,95464,1455
249,2018,95467,1313
250,2018,95493,186
252,2018,96117,882
253,2018,96128,444
254,2018,96130,651
255,2018,96137,9201
257,2018,90001,2866
258,2018,90002,2424
259,2018,90003,194
260,2018,90004,416812
261,2018,90005,347547
262,2018,90006,268043
263,2018,90007,2686
264,2018,90008,241985
265,2018,90010,267721
266,2018,90011,6791
267,2018,90012,637798
268,2018,90013,515845
269,2018,90014,204475
270,2018,90015,1040441
271,2018,90016,436368
272,2018,90017,400253
273,2018,90018,23292
274,2018,90019,127925
275,2018,90020,429828
276,2018,90021,112060
277,2018,90022,1179
278,2018,90023,381
279,2018,90024,4967146
280,2018,90025,2681780
281,2018,90026,196648
282,2018,90027,314234
283,2018,90028,368483
284,2018,90029,60683
285,2018,90031,124726
286,2018,90032,86193
287,2018,90033,5393
288,2018,90034,478598
289,2018,90035,638597
290,2018,90036,322961
291,2018,90037,14709
292,2018,90038,141175
293,2018,90039,269240
294,2018,90040,17042
295,2018,90041,35239
296,2018,90042,684478
297,2018,90043,11475
298,2018,90044,18533
299,2018,90045,218514
300,2018,90046,1332768
301,2018,90047,6950
302,2018,90048,774897
303,2018,90049,2426322
304,2018,90056,109246
305,2018,90057,128980
306,2018,90058,71
307,2018,90059,1976
308,2018,90061,13541
309,2018,90062,260
310,2018,90063,5279
311,2018,90064,627985
312,2018,90065,88995
313,2018,90066,551515
314,2018,90067,2411489
315,2018,90068,518933
316,2018,90069,3226024
317,2018,90071,301
318,2018,90077,124763
319,2018,90089,156
320,2018,90094,1101938
321,2018,90201,62750
322,2018,90210,895022
323,2018,90211,479343
324,2018,90212,692594
325,2018,90220,134103
326,2018,90221,6369
327,2018,90222,392
328,2018,90230,1975541
329,2018,90232,170897
330,2018,90240,90553
331,2018,90241,235921
332,2018,90242,105975
333,2018,90245,352690
334,2018,90247,457455
335,2018,90248,87624
336,2018,90249,118009
337,2018,90250,606270
338,2018,90254,795865
339,2018,90255,115665
340,2018,90260,242361
341,2018,90262,14536
342,2018,90263,493
343,2018,90265,932605
344,2018,90266,805854
345,2018,90270,1401
346,2018,90272,1016843
347,2018,90274,489083
348,2018,90275,814223
349,2018,90277,1939338
350,2018,90278,1828335
351,2018,90280,144327
352,2018,90290,2920
353,2018,90291,483792
354,2018,90292,3193300
355,2018,90293,1122154
356,2018,90301,299391
357,2018,90302,385236
358,2018,90303,11885
359,2018,90304,12550
360,2018,90305,395375
361,2018,90401,342204
362,2018,90402,806433
363,2018,90403,2180544
364,2018,90404,1007384
365,2018,90405,1323758
366,2018,90501,437905
367,2018,90502,572972
368,2018,90503,907156
369,2018,90504,200531
370,2018,90505,495261
371,2018,90506,246
372,2018,90601,343618
373,2018,90602,59857
374,2018,90603,121839
375,2018,90604,142247
376,2018,90605,60990
377,2018,90606,10839
378,2018,90638,417503
379,2018,90640,332645
380,2018,90650,366894
381,2018,90660,119335
382,2018,90670,141372
383,2018,90701,46230
384,2018,90703,443755
385,2018,90704,184664
