ZIP Code,2018,2019,2020,2021,2022,2023,Pct Premium Increase 18-21
90001,484901.28571428574,504140.85714285716,547563.8571428572,708151.8333333334,772361.6666666666,851829.0,0.31525802392996366
90002,569980.5,603840.8333333334,660567.1666666666,721661.3333333334,795190.3333333334,868758.0,0.21018284661688036
90003,643022.4285714285,685420.1428571428,768382.4285714285,838832.2857142857,918486.2857142857,1007526.2857142857,0.23343147429777383
90004,1405309.0,1520989.5,1786722.3333333333,1887915.0,2078024.5,2265968.6666666665,0.2556290934708395
90005,471939.0,536307.6666666666,616614.0,652763.1666666666,737604.5,822084.5,0.27701343442836207
90006,383786.0,353809.5714285714,397939.0,517692.6666666667,581574.1666666666,622582.3333333334,0.25866054377178743
90007,373659.3333333333,411424.6666666667,483841.1666666667,522586.6666666667,577960.8333333334,627974.3333333334,0.28498111955911626
90008,823362.5714285715,903396.4285714285,1016002.2857142857,1259945.6666666667,1360762.8333333333,1504459.8333333333,0.34650946210492295
90009,170.0,172.0,225.0,258.0,230.0,163.0,0.34108527131782945
90010,75680.83333333333,80651.66666666667,129435.8,104057.0,149592.6,163788.2,0.27269829676683616
90011,920528.5,831492.7142857143,917568.8571428572,1174879.6666666667,1299812.8333333333,1432676.5,0.21649124917473822
90012,313207.5,342603.1666666667,384809.1666666667,415958.3333333333,459819.5,501476.1666666667,0.24702193729339875
90013,167062.2,183934.8,212457.0,246458.2,273247.2,292107.2,0.3221479342135908
90014,106573.6,131178.2,156019.6,161502.8,169687.0,206186.5,0.34011298875313606
90015,337003.5,399453.1666666667,474130.6666666667,499377.0,542478.5,547527.3333333334,0.3251521395658991
90016,998728.3333333334,1075235.6666666667,1211036.5,1306320.6666666667,1456009.3333333333,1641765.5,0.23546464599554678
90017,185340.66666666666,202780.33333333334,227937.5,261181.0,305700.5,335344.1666666667,0.29037461887860655
90018,859925.6666666666,914805.3333333334,1028029.0,1120159.1666666667,1233864.6666666667,1369202.8333333333,0.23231832380963727
90019,1286212.7142857143,1387731.0,1579480.4285714286,1698651.0,1876623.7142857143,2080599.857142857,0.24280342796388762
90020,660993.3333333334,724893.1666666666,860610.5,747966.5714285715,832140.2857142857,1037248.0,0.11627957908483051
90021,28925.5,31755.166666666668,38664.833333333336,45903.0,52942.5,53988.166666666664,0.3698560006971222
90022,593576.4285714285,626570.4285714285,687585.7142857143,761275.8571428572,858910.7142857143,956870.7142857143,0.22028733342578471
90023,398091.8333333333,419504.0,463697.3333333333,511265.0,567684.3333333334,626884.3333333334,0.22135911252807583
90024,2330426.8333333335,2439458.8333333335,2828570.5,2819268.1666666665,3039596.1666666665,3205529.0,0.17339298868873113
90025,1143640.1666666667,1237595.8333333333,1372996.1666666667,1471689.1666666667,1633828.8333333333,1819635.0,0.222906444805204
90026,1185588.7142857143,1486554.5,1732605.6666666667,1881526.8333333333,2050734.6666666667,2252793.3333333335,0.36987945466325745
90027,1466802.5714285714,1599162.857142857,1848693.7142857143,1959481.2857142857,2115254.285714286,2303322.4285714286,0.25143323280381275
90028,315966.6666666667,350392.5,407085.8333333333,450895.8333333333,505171.6666666667,540808.8333333334,0.2992468696576259
90029,339797.5,360201.1666666667,419150.3333333333,457888.6666666667,507169.1666666667,561276.3333333334,0.2579036679949857
90031,466842.71428571426,503423.5714285714,572402.0,741435.3333333334,819488.5,905368.0,0.37035275593504546
90032,808719.8333333334,873095.3333333334,976827.1666666666,1059061.5,1161206.6666666667,1274875.1666666667,0.23638066974077201
90033,311081.85714285716,331986.0,371421.5714285714,405039.5714285714,523288.1666666667,572027.0,0.2319716909494204
90034,965012.0,1045676.1428571428,1193795.4285714286,1276883.5714285714,1394850.4285714286,1548832.142857143,0.2442443292458144
90035,1171227.8333333333,1267452.0,1474351.5,1545923.6666666667,1685377.3333333333,1867714.3333333333,0.24237667189690917
90036,1406989.1666666667,1516027.8333333333,1479223.7142857143,1813685.6666666667,1923026.0,2052276.1666666667,0.22423758839504895
90037,582197.4285714285,713792.0,786114.8333333334,861890.3333333334,945877.6666666666,1059905.3333333333,0.3245110125324198
90038,308184.1666666667,330927.8333333333,391123.1666666667,443951.5,494333.1666666667,537301.1666666666,0.3058156878247586
90039,1163363.6666666667,1264890.5,1471916.5,1596557.5,1727444.6666666667,1900888.1666666667,0.2713299291339856
90040,164184.5,175307.33333333334,193352.83333333334,207970.16666666666,230688.0,260119.66666666666,0.21053821020803462
90041,750475.4285714285,815157.1428571428,925490.2857142857,1011713.7142857143,1117913.2857142857,1248263.2857142857,0.25821364485379555
90042,1090214.2857142857,1188504.142857143,1343687.2857142857,1485362.857142857,1659305.0,1842588.5714285714,0.26602831054268605
90043,1430800.8333333333,1547508.8333333333,1726636.8333333333,1846207.1666666667,2013117.0,2258631.8333333335,0.2250052652993169
90044,1047242.7142857143,1110611.142857143,1230110.0,1345932.857142857,1463799.142857143,1616803.857142857,0.22192053732249425
90045,1470256.6666666667,1602891.0,1789606.6666666667,1639651.2857142857,2093591.0,2293660.8333333335,0.1033113690230939
90046,2762358.5,3055392.0,3703816.3333333335,4012803.6666666665,4432545.5,4806701.333333333,0.31161384172711826
90047,1137680.0,1217106.0,1360461.857142857,1459414.4285714286,1587346.5714285714,1763905.857142857,0.22045446603290306
90048,1187488.6666666667,1303885.5,1528838.1666666667,1584931.5,1742207.0,1911457.3333333333,0.2507634136449009
90049,5415153.0,5035348.857142857,6926053.333333333,7131039.0,7885720.166666667,8501002.166666666,0.24062215898693023
90053,460.0,452.0,21.0,2980.0,2683.0,1012.0,0.8456375838926175
90056,577441.6666666666,624689.8333333334,694369.3333333334,729969.0,797352.8333333334,887219.6666666666,0.2089504257486734
90057,119078.66666666667,127699.66666666667,142973.5,160973.5,175843.33333333334,196125.0,0.26025919380105006
90058,11384.857142857143,11950.666666666666,15071.0,17181.6,18829.4,25097.0,0.3373808526064427
90059,515077.5,473046.0,526664.1428571428,673730.1666666666,736518.0,820598.6666666666,0.23548398827324782
90061,371212.1666666667,396090.0,442125.6666666667,486555.8333333333,529334.0,579109.8333333334,0.23706152257277763
90062,530807.4285714285,565119.2857142857,627888.0,678649.8571428572,741613.2857142857,819092.8571428572,0.21784787400361524
