,ZIP Code,New,Renewed,Expiring,Insured-Initiated Nonrenewed,Insurer-Initiated Nonrenewed,Pct NonRenewed,Pct NonRenewed Owner,Pct NonRenewed Company
0,90001,5348,37886,42472,2974,1612,0.1079770201544547,0.07002260312676586,0.03795441702768883
1,90002,5837,37321,42395,3444,1630,0.11968392499115461,0.08123599481070881,0.03844793018044581
2,90003,7701,45684,52348,4529,2135,0.12730190265148622,0.08651715442805838,0.04078474822342783
3,90004,3779,27340,31023,2883,800,0.11871837024143378,0.09293105115559423,0.02578731908583954
4,90005,914,5874,6799,691,234,0.13604941903221063,0.10163259302838652,0.03441682600382409
5,90006,2097,11762,13661,1303,596,0.1390088573310885,0.09538101163897225,0.043627845692116245
6,90007,1887,12282,13988,1218,488,0.12196168144123534,0.08707463540177295,0.0348870460394624
7,90008,3529,30493,33721,2509,719,0.09572669849648587,0.07440467364550281,0.021322024850983067
8,90010,33,174,214,36,4,0.18691588785046728,0.16822429906542055,0.018691588785046728
9,90011,8252,51548,58630,4649,2433,0.12079140371823299,0.07929387685485247,0.04149752686338052
10,90012,517,4558,5053,391,104,0.09796160696615872,0.07737977439145062,0.020581832574708095
11,90013,80,501,572,64,7,0.12412587412587413,0.11188811188811189,0.012237762237762238
12,90014,40,257,305,45,3,0.15737704918032788,0.14754098360655737,0.009836065573770493
13,90015,372,2402,2791,314,75,0.13937656753851665,0.11250447868147617,0.026872088857040486
14,90016,5721,42173,47390,4047,1170,0.11008651614264613,0.08539776324119012,0.024688752901456005
15,90017,156,845,992,113,34,0.14818548387096775,0.11391129032258064,0.034274193548387094
16,90018,5340,36669,41385,3503,1213,0.11395433127944908,0.08464419475655431,0.02931013652289477
17,90019,6793,47303,53700,4988,1409,0.11912476722532589,0.09288640595903165,0.026238361266294228
18,90020,632,4729,5389,504,156,0.1224717016143997,0.09352384486917796,0.028947856745221746
19,90021,58,557,627,47,23,0.11164274322169059,0.07496012759170653,0.03668261562998405
20,90022,5975,57675,63047,3777,1595,0.08520627468396592,0.05990768791536473,0.0252985867686012
21,90023,3506,28798,31919,2117,1004,0.09777875246718255,0.06632413296155895,0.03145461950562361
22,90024,2353,19554,21956,1880,522,0.1094006194206595,0.08562579704864275,0.023774822372016762
23,90025,2083,18704,20839,1764,371,0.1024521330198186,0.0846489754786698,0.017803157541148806
24,90026,7149,52862,59467,5219,1386,0.11107000521297526,0.08776296096994972,0.023307044243025543
25,90027,4293,33737,37770,3225,808,0.10677786603124173,0.08538522637013503,0.0213926396611067
26,90028,716,4045,4741,540,156,0.1468044716304577,0.1139000210925965,0.03290445053786121
27,90029,1817,13190,14870,1336,344,0.11297915265635508,0.08984532616005379,0.023133826496301278
