ZIP,lowest_Income_2017,lowest_Income_2018,lowest_Income_2019,lowest_Income_2020,lowest_Income_2021,lowest_Income_2022,lowest_Income_2023
90001,17,14,12,10,9,9,8
90002,16,15,14,13,12,10,9
90003,17,15,14,12,9,8,8
90004,12,11,10,9,8,7,7
90005,18,15,13,13,11,8,9
90006,19,17,16,16,14,11,11
90007,15,15,13,12,11,10,10
90008,14,13,13,11,11,10,9
90011,17,16,15,14,12,11,9
90012,13,13,12,13,12,11,11
90013,10,10,9,11,9,11,10
90014,7,7,8,8,9,11,8
90015,16,14,10,7,7,8,6
90016,13,10,10,8,7,6,6
90017,17,16,14,13,10,9,8
90018,15,13,11,11,10,9,7
90019,11,11,10,10,10,8,9
90020,13,11,9,9,9,7,6
90021,8,9,12,10,13,12,7
90022,13,12,12,12,12,10,9
90023,14,14,13,10,8,9,9
90024,6,6,6,9,9,8,8
90025,6,6,5,4,5,5,6
90026,11,10,9,8,7,7,6
90027,10,9,9,7,7,7,6
90028,12,12,12,11,10,9,9
90029,13,13,13,13,12,10,9
90031,15,13,12,10,10,8,8
90032,12,12,11,10,9,8,8
90033,19,16,14,12,11,10,10
90034,8,6,6,4,3,2,3
90035,5,6,6,6,4,5,5
90036,5,5,5,4,5,4,4
90037,18,16,16,14,14,10,8
90038,17,16,13,12,10,7,7
90039,8,7,6,4,3,3,3
90040,11,10,9,7,7,8,8
90041,8,7,6,8,6,5,5
90042,10,10,9,6,4,4,4
90043,11,10,9,9,9,7,8
90044,16,14,14,12,11,10,9
90045,6,6,4,3,3,3,2
90046,8,8,7,6,6,5,5
90047,11,9,8,7,8,10,8
90048,4,4,4,4,5,4,5
90049,4,3,4,3,3,3,2
90056,9,7,7,6,7,2,2
90057,18,17,15,11,10,7,7
90058,15,15,17,17,13,15,12
90059,13,12,12,12,8,9,7
90061,14,15,15,13,12,12,10
90062,12,11,8,8,6,5,6
90063,13,11,10,9,8,7,7
90064,5,5,4,4,4,3,3
90065,8,8,8,7,6,5,6
90066,7,6,6,6,5,5,4
90067,5,7,8,12,11,8,6
90068,5,4,5,4,3,2,2
90069,5,4,5,7,5,5,5
90077,1,1,1,2,1,3,3
90089,57,57,55,44,0,0,0
90094,3,1,0,1,2,1,4
90201,15,14,13,12,11,9,8
90210,4,4,5,4,4,2,3
90211,6,5,5,4,3,1,2
90212,6,7,8,8,7,4,1
90220,12,12,10,10,9,7,5
90221,12,11,11,10,7,6,5
90222,12,10,10,10,8,7,7
90230,7,6,6,5,5,5,6
90232,5,6,5,4,3,4,4
90240,4,2,4,3,5,4,4
90241,6,6,6,5,5,5,3
90242,6,4,5,4,5,4,4
90245,4,4,4,5,5,4,3
90247,13,11,10,8,7,6,5
90248,8,7,6,4,6,3,3
90249,7,7,6,8,6,5,4
90250,11,10,10,8,6,4,4
90254,2,2,3,3,2,3,3
90255,17,15,14,12,8,8,8
90260,7,7,7,6,4,4,4
90262,11,10,10,9,8,8,6
90265,4,2,3,3,3,2,2
90266,3,3,2,1,1,2,2
90270,16,14,14,12,10,7,7
90272,4,4,2,2,3,2,2
90274,2,1,2,2,2,2,2
90275,3,4,4,3,2,2,2
90277,4,4,4,3,3,3,3
90278,5,4,3,2,2,2,3
90280,13,11,10,9,7,7,6
90290,4,3,3,1,2,3,3
90291,6,6,6,5,5,4,4
90292,3,4,5,6,6,5,4
90293,5,5,4,2,2,2,3
90301,15,11,9,8,8,8,7
90302,11,10,10,9,7,6,6
90303,11,10,9,7,8,6,6
90304,19,16,14,16,14,8,7
90305,7,7,7,5,7,10,9
90401,8,9,9,8,6,8,5
90402,5,5,4,3,4,3,4
90403,7,6,6,5,4,5,4
90404,6,6,7,7,6,5,5
90405,5,6,6,7,6,5,4
90501,9,9,8,8,6,5,4
90502,6,6,7,4,4,3,3
90503,7,6,5,4,4,3,3
90504,7,6,5,5,4,5,5
90505,6,6,5,5,3,2,2
90601,6,7,7,7,6,6,6
90602,13,10,10,12,10,8,8
90603,4,3,3,4,3,2,3
90604,7,7,6,6,5,3,3
90605,8,7,6,5,5,4,4
90606,8,8,7,5,3,3,3
90620,6,5,5,3,3,2,2
90621,9,8,7,5,3,3,2
90623,4,4,4,3,3,2,2
90630,4,3,4,4,4,3,3
90631,7,6,6,5,4,3,3
90638,6,6,6,6,6,6,6
90640,13,12,11,8,6,5,4
90650,8,8,7,6,5,5,5
90660,9,9,8,7,5,5,6
90670,9,7,7,5,4,3,4
90680,10,9,8,6,6,5,7
90701,9,8,8,6,6,4,5
90703,5,5,4,4,3,3,3
90704,14,9,9,10,8,5,3
90706,10,9,9,8,6,7,6
90710,10,10,8,9,8,6,5
90712,4,3,2,3,4,3,4
90713,6,5,6,6,5,3,4
90715,6,6,7,5,3,3,3
90716,19,17,18,12,10,8,7
90717,6,7,9,10,8,6,4
90720,4,4,4,4,4,2,3
90723,10,8,8,7,6,6,5
90731,11,10,10,11,10,8,8
90732,6,5,5,3,4,3,4
90740,11,9,8,8,7,8,6
90742,0,1,1,1,2,1,0
90743,0,0,11,9,6,6,7
90744,14,12,10,12,12,10,10
90745,7,6,5,4,5,5,5
90746,7,6,5,5,4,3,3
90755,8,8,9,10,11,7,7
90802,11,9,9,7,7,6,5
90803,6,5,5,5,4,3,3
90804,11,10,9,9,8,6,5
90805,12,10,10,9,8,6,6
90806,11,10,10,10,9,7,6
90807,7,5,5,4,4,3,4
90808,5,4,4,3,2,2,1
90810,9,9,8,7,5,4,5
90813,16,16,14,13,10,9,9
90814,8,6,5,4,5,6,7
90815,5,4,4,4,4,4,3
91001,6,5,5,5,4,3,3
91006,5,5,5,4,4,4,2
91007,6,6,4,3,4,4,4
91008,4,6,7,6,4,6,6
91010,6,6,6,5,5,5,4
91011,3,4,3,2,2,2,1
91016,7,8,7,7,5,6,5
91020,8,9,6,7,8,6,4
91024,5,4,3,2,3,2,2
91030,6,5,4,3,3,2,2
91040,6,7,7,6,6,5,6
91042,9,11,9,10,9,8,7
91101,7,7,6,7,5,5,4
91103,9,10,9,10,9,7,9
91104,9,8,7,5,5,4,3
91105,4,3,2,2,2,2,2
91106,6,6,7,7,6,5,3
91107,4,4,3,4,4,4,5
91108,2,4,3,2,3,4,4
91201,16,15,14,13,13,10,12
91202,13,11,9,6,6,5,6
