ZIP,Median_Income_2017,Median_Income_2018,Median_Income_2019,Median_Income_2020,Median_Income_2021,Median_Income_2022,Median_Income_2023
90001,35660,38521,43360,48011,52806,57698,60751
90002,34000,35410,37285,42245,46159,54221,56158
90003,34397,37226,40598,42220,47733,51275,54781
90004,46581,48754,49675,52775,54947,58420,62655
90005,32461,35149,38491,42398,44913,49226,52755
90006,33790,35411,37072,37375,41068,47599,49847
90007,23070,25226,27406,30530,33222,36326,36032
90008,36641,39907,43364,47230,49379,57880,61822
90011,33824,36954,40940,44616,47126,51819,53781
90012,38786,42275,47027,49905,53278,58444,67635
90013,22808,21676,22316,21175,22291,24853,32848
90014,37619,35857,40641,36429,31332,26550,33822
90015,32979,39016,43890,48743,53062,61959,63211
90016,43443,46680,48715,49958,53659,63090,71067
90017,28638,31423,35605,36870,44607,46626,51317
90018,37341,41768,45984,49644,55275,58987,63671
90019,50671,52625,56389,58313,61616,65972,71395
90020,42407,46504,49068,50207,51013,55321,55832
90021,12864,15149,21635,21625,25364,29659,32250
90022,41276,43366,46051,51183,57464,65142,67829
90023,40225,41308,42972,45991,48293,52918,56623
90024,59418,63306,65855,63344,67422,74852,79994
90025,78713,83655,87280,97791,100453,103511,104627
90026,54342,60820,65269,67435,70436,80549,85835
90027,58344,64091,66947,71651,78356,86826,90532
90028,40068,43998,45499,50253,52814,57258,59393
90029,37379,39562,41998,45004,50822,56529,60793
90031,41126,44343,48479,51076,53319,59889,62119
90032,47370,50989,57225,59723,65761,76608,81563
90033,31683,35548,38266,43646,49734,50616,56001
90034,65572,71295,75714,80773,88490,97511,103082
90035,76677,79534,89337,99367,101570,110520,108224
90036,74279,80998,80539,84315,87868,97583,102877
90037,31045,33856,35424,37945,45128,52238,56417
90038,36996,39984,47116,48786,51096,57102,61566
90039,81394,86031,90538,88104,99226,108338,105578
90040,43585,46532,47120,54567,56948,62083,70909
90041,73250,80547,85971,90461,95811,111938,111834
90042,55596,59746,64267,73152,81853,89168,94401
90043,41812,47500,54729,56285,60599,63990,65496
90044,32278,34311,35981,39434,43388,48386,51433
90045,90399,96812,104578,110535,115943,125692,132577
90046,65990,67667,72266,72457,77162,87339,94259
90047,42551,47477,52605,58830,62399,67018,70187
90048,85396,95197,100586,93583,102567,102244,104227
90049,121671,127658,129688,133032,143000,161605,169898
90056,84438,86100,92656,84387,105744,123457,127252
90057,31337,33861,37700,41748,43796,46513,44876
90058,16425,20982,21964,27708,33146,34093,36680
90059,37653,41995,44838,44839,47682,50939,53840
90061,37126,39739,42500,47468,50427,56837,60114
90062,40018,44835,49443,52661,56500,61422,63652
90063,44121,46613,48559,50913,57026,69307,71725
90064,92194,95865,102117,103045,109357,123929,129703
90065,58405,63147,67479,76080,80386,88329,92903
90066,75209,79088,83899,87589,90983,100344,107786
90067,123889,129306,118393,111299,109704,125995,135328
90068,82718,83756,88535,87327,90733,97151,101720
90069,86403,92952,93380,90546,98440,106133,110705
90077,184722,210833,209531,222982,200625,203194,220464
90094,136250,146325,155417,170634,166667,156536,159904
90201,39498,42255,44046,46109,49554,53692,56824
90210,149732,143542,147270,152037,154740,172285,190382
90211,71402,82212,86437,96111,89946,115025,118125
90212,103032,93846,95080,86496,91663,101963,116238
90220,54014,53988,57074,61279,65337,69901,77535
90221,46008,48762,51377,53683,57610,64439,68191
90222,40719,45689,49894,57101,63843,68722,76467
90230,79242,80677,85524,87469,96837,107870,106827
90232,82254,82164,90467,98116,105932,113278,125490
90240,81205,82722,86383,87107,91518,99874,108860
90241,64222,69308,72715,72274,75111,81220,84375
90242,62402,66019,71233,73037,75005,81448,83238
90245,92942,98813,109577,115846,126683,142596,149149
90247,46076,51386,55561,61234,65598,70012,73851
90248,58703,62179,61448,63620,69645,75865,81777
90249,53964,59778,60669,65397,69670,83125,84921
90250,49417,53303,56304,60162,65935,74616,74923
90254,124849,137188,136702,142500,144388,149500,152019
90255,40325,42581,44962,49366,53929,57013,61376
90260,58792,62047,65340,70389,76236,80205,86736
90262,45897,49801,52313,57236,61941,67620,70507
90265,137672,149202,152378,163909,175607,186264,191080
90266,148899,150083,153023,153926,169586,187217,193904
90270,37553,39760,44124,50996,54631,57741,61753
90272,180962,194151,192500,199598,212115,225256,200985
90274,158497,162163,169919,181776,186144,206013,222273
90275,124384,133156,138293,145816,158952,166602,175212
90277,101532,102281,106185,104859,111859,120008,131985
90278,107242,118000,116783,126979,132479,143785,148581
90280,47281,50246,52321,55084,59713,67287,71379
90290,103553,118667,129772,129000,135262,138316,142148
90291,88078,91779,99652,99496,105871,111610,119043
90292,103948,109268,114726,121021,137813,136854,136964
90293,100042,103874,105865,104814,110884,124688,130699
90301,42100,44135,47464,51498,55111,61910,62991
90302,43788,47863,51850,54432,62794,68662,72461
90303,44470,50438,55897,62826,65077,67598,70853
90304,41054,44574,49120,47612,50052,57647,63317
90305,68760,74009,80165,88910,80281,85466,89030
90401,71154,72872,82681,95217,90682,89892,106704
90402,140179,147111,154583,145742,139667,171844,182688
90403,92096,107335,107420,111611,113204,123391,121512
90404,73601,75221,78542,75610,74591,87209,85081
90405,88445,94446,95674,96352,97010,101713,114489
90501,64995,70671,71712,75388,80816,89926,92815
