zipcode,State,CountyName,City,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
90011,CA,Los Angeles County,Los Angeles,274929.3280436843,298555.667855263,343229.4715286755,406562.6000737082,442737.92140518315,479564.36113042803,542649.8753852563,595656.0783434217,601326.30801262,625695.0780911046,633570.3414041591
90650,CA,Los Angeles County,Norwalk,381154.19700594764,399568.1715940078,442036.5753213889,492692.65620954364,512269.6685678949,547016.0599250366,628992.6502678782,713931.7242693779,717886.0548258174,766803.7820262316,779518.7929967262
91331,CA,Los Angeles County,Los Angeles,339450.3082072665,362679.93754540995,406928.56505790056,470592.96669897344,498204.0361638065,537991.7726344011,622559.9098563873,696503.3752801551,699264.7195159324,748702.9700304061,768435.5579006312
90044,CA,Los Angeles County,Los Angeles,296700.39099948393,320481.0725226084,366894.8894845789,433018.635637887,471186.55373036955,511070.7716459735,583537.6098378546,641506.4846583365,641090.9667698313,667325.2223506881,675375.5725107088
92336,CA,San Bernardino County,Fontana,369896.7770886616,387363.34342055814,411137.2488855091,444389.6427896714,460405.59021022666,484102.3221450111,575307.9516925372,673830.2200088339,667951.2939444791,712605.2615775028,723692.2550829359
94565,CA,Contra Costa County,Pittsburg,320403.85420358524,365388.59432039806,402843.5945978174,442828.73371707014,456540.0043930624,480757.26285016583,568460.105714007,623985.1386628951,587373.1202632232,607009.7823630319,598689.8977396167
92335,CA,San Bernardino County,Fontana,250129.6583384916,270795.06774838065,305708.03709052445,344456.295518984,361084.16507673124,382946.60934078885,446398.3562588669,516144.6130395842,529067.1265474253,568994.0488948273,577331.263786317
90201,CA,Los Angeles County,Bell,327840.81086355745,346176.28709723544,387506.0929809345,436093.8007318504,464336.6206806952,501372.4209041193,567653.3185484672,634165.77881216,653423.1493801634,695108.4905863762,702005.0888456602
90250,CA,Los Angeles County,Hawthorne,471120.636196024,499701.97267551254,557735.3226372687,646065.4494691504,687571.0482848402,730284.7876268326,824805.9188144145,903901.7070598587,879843.7976705758,903865.1508901259,914572.265224903
90805,CA,Los Angeles County,Long Beach,336938.38306660205,358873.0066101357,399955.92037206935,456568.4020153491,486915.95994946436,522391.3739615595,600211.6190247637,665250.6024662353,668164.5221438836,710690.7106777147,721381.7046793018
93307,CA,Kern County,Bakersfield,141336.99025270613,152302.60987959287,159141.29706364332,171964.01391525706,185029.27661734945,199336.61834702847,234695.26832258597,276885.4168891578,287109.7689011899,310663.04148005793,319658.9137740536
90280,CA,Los Angeles County,South Gate,350438.50302579557,369959.6159793459,408558.6191844935,458659.66839176364,484317.4165644518,515840.31727797125,584765.6734689116,647370.9188601038,661532.85076385,701627.9927462848,708364.2089054411
91342,CA,Los Angeles County,Los Angeles,394076.78252891643,416253.5873726194,458994.73976067174,520282.46505035943,550146.7698257447,591029.9731336428,689307.8678650255,769893.2849659269,768492.5827283809,821414.2478842647,837236.4728538761
92683,CA,Orange County,Westminster,539779.8312527835,561356.3017948351,614511.7794798273,672203.4096814456,684262.243490605,725650.1902912307,818577.3100724182,937605.7381938555,946477.2873020313,1044297.4053437425,1088165.7477336086
92503,CA,Riverside County,Riverside,327265.225891304,349230.27382238116,371912.8821465612,408347.2300587205,422054.3471276338,444639.0823585563,525685.7405650296,605525.3791335872,608909.0823202847,652645.3631088076,656684.0438709378
92345,CA,San Bernardino County,Hesperia,186462.27947421558,203068.1407174497,230486.14746153777,264581.8755816641,272548.95108607155,291163.31720961287,357297.1461784248,418380.0888485704,418073.84551542747,444168.0974781043,452569.3281721489
91911,CA,San Diego County,Chula Vista,383372.43353795283,417356.01586502005,445552.06583599356,473324.1337371061,488434.157471569,522144.443660768,610753.180059672,697077.8102799274,708841.7120314804,775000.8828432285,781625.5879749948
93033,CA,Ventura County,Oxnard,375403.46270601545,406211.92004621564,433323.1682984478,459653.71419882914,475574.5619597892,504128.1820249587,577520.5195621366,651500.692097816,653657.6118147671,705581.9724538383,715671.634634607
95076,CA,Santa Cruz County,Watsonville,499092.1507914155,543552.9852716981,582348.0141901067,627246.0020406191,640085.6151351949,663860.9342062096,773309.927506296,861563.179525503,838325.0116697196,858579.6668549428,860672.3968094544
92154,CA,San Diego County,San Diego,370380.0638184327,406074.1609320705,440403.4095323701,468915.05246733763,480863.4106057266,514123.5859437498,601544.4683907758,685889.651666628,701317.1289045148,764034.1933560343,761570.6728232579
92376,CA,San Bernardino County,Rialto,245741.31128522663,263624.17254188214,295620.96591640636,338440.4135558785,355642.6127588353,380051.7435328802,447253.9191420769,518048.4423076715,528994.4792640674,564840.319282779,574642.428421897
92804,CA,Orange County,Anaheim,449216.1907484823,473519.1512642924,527568.3859446123,578871.9893934497,589813.5532697561,628234.1735424815,717137.1917104766,822099.7072481401,830519.3413865101,907585.453992607,941247.2782434828
91710,CA,San Bernardino County,Chino,417950.7012334433,433832.75382167223,468472.59625826473,512992.34448730707,519823.54612866906,537904.6047048682,627429.0165735268,723646.121791203,720032.3092838157,769134.6902619487,787250.0260806525
93722,CA,Fresno County,Fresno,199197.0044241401,214356.41822710857,232314.6468494865,253561.56329537896,265817.56713980227,280253.11330196494,329877.55910139304,385324.98236972553,383486.5553177521,400710.200151815,404969.6306513194
94112,CA,San Francisco County,San Francisco,885930.6884729904,958922.1390887741,1011327.0273448502,1136752.7408852575,1162906.7783352265,1220546.196883539,1262550.960324256,1295646.9016898999,1145548.2083333374,1129254.7573964323,1125111.6424545795
95823,CA,Sacramento County,Sacramento,201295.99518161648,236800.76336083285,261781.38274180485,287849.27983765164,300640.104663895,321188.5640560624,387128.59152615577,444460.3674196592,425200.6370077476,441688.39808420284,441143.1055292358
95035,CA,Santa Clara County,Milpitas,781487.7531371532,850711.7649493596,887380.7728703028,1098031.2584310176,1089603.7905160976,1100199.640450446,1249794.0391369595,1434990.2930974176,1381390.1651220305,1534669.3656905226,1598450.591529295
91744,CA,Los Angeles County,La Puente,369445.3354851938,387257.1023774128,426324.3925256916,478927.4144370218,501184.24170135916,532457.2417201347,611716.0754106854,693750.035520904,691681.5611344777,743974.596862675,761184.5483560131
92509,CA,Riverside County,Jurupa Valley,302680.0229986035,328400.4635376587,352233.88951146184,391016.5324897258,405790.2758688444,432957.2969373059,508767.93898307224,589576.2486815808,597781.4183214705,641617.2536985328,649802.1766936859
93257,CA,Tulare County,Porterville,156073.24569726698,167026.35087025538,186877.84686309446,201818.45141683842,214811.87152295277,229305.6441889831,263033.0851827219,295880.8683583424,302134.6044213869,317012.8465132496,324189.94275834586
93550,CA,Los Angeles County,Palmdale,190743.17545526722,210617.5151307983,238332.26578887404,274701.6309006273,295213.22790328774,316760.4452548431,385128.39468948095,448389.0479029622,440528.9129309351,460624.3427236937,465587.64820286137
92592,CA,Riverside County,Temecula,408117.4729733499,428342.02333103394,450605.95759458427,487269.6305158183,494818.6014308752,519344.7530354091,633333.9342353387,746959.6440714797,735698.4647449685,778516.1688637653,793684.1577432775
95630,CA,Sacramento County,Folsom,468501.5955702096,498442.0962406658,531663.4399308659,566104.358065249,585771.7433877159,614710.9234768354,723122.7591991555,815982.4977336217,772760.1754700713,790364.9788763159,792451.637973951
92880,CA,Riverside County,Eastvale,508704.24102775403,523011.8623591018,549784.4233828682,600864.0043775176,610521.3853795637,637358.1004964634,758964.5356275266,907964.2534777134,894956.8139037407,959407.0650492101,976813.9926443843
94544,CA,Alameda County,Hayward,483396.4211194955,547199.6173926025,596867.7028241528,678745.5610434518,686588.8169112,707707.6241286309,824473.5758403866,911423.415957932,859999.2392371829,914886.8539928483,908459.9171962226
90706,CA,Los Angeles County,Bellflower,410803.26360854274,431369.432003415,477041.0943013732,535560.7628992667,557365.7801604633,593852.3430882981,682677.1623557209,761029.2731275554,763462.9266064522,809740.996260042,822030.6238787281
93535,CA,Los Angeles County,Lancaster,174379.7495416116,191014.83810174974,217806.91978372968,256728.5159866309,278014.87753313006,299428.7914731369,369188.4771529773,433256.0737328872,423178.28723243315,443648.52280421316,450123.1506570627
92704,CA,Orange County,Santa Ana,419346.7610406697,442138.25015862443,496485.3415159807,556228.8556076827,567245.5614618502,606661.9134015244,684014.6465277616,776292.287513887,793921.8818138376,877627.1932395374,908750.96853832
