"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"zip/90001","","90001","Median_Cost_HousingUnit_WithoutMortgage_OccupiedHousingUnit_OwnerOccupied_SelectedMonthlyOwnerCosts","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",394,"Median Cost of Housing Unit (Selected Monthly Owner Costs): Without Mortgage"
"zip/90002","","90002","Median_Cost_HousingUnit_WithoutMortgage_OccupiedHousingUnit_OwnerOccupied_SelectedMonthlyOwnerCosts","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",401,"Median Cost of Housing Unit (Selected Monthly Owner Costs): Without Mortgage"
"zip/90003","","90003","Median_Cost_HousingUnit_WithoutMortgage_OccupiedHousingUnit_OwnerOccupied_SelectedMonthlyOwnerCosts","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",489,"Median Cost of Housing Unit (Selected Monthly Owner Costs): Without Mortgage"
"zip/90004","","90004","Median_Cost_HousingUnit_WithoutMortgage_OccupiedHousingUnit_OwnerOccupied_SelectedMonthlyOwnerCosts","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",781,"Median Cost of Housing Unit (Selected Monthly Owner Costs): Without Mortgage"
"zip/90005","","90005","Median_Cost_HousingUnit_WithoutMortgage_OccupiedHousingUnit_OwnerOccupied_SelectedMonthlyOwnerCosts","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",854,"Median Cost of Housing Unit (Selected Monthly Owner Costs): Without Mortgage"
"zip/90006","","90006","Median_Cost_HousingUnit_WithoutMortgage_OccupiedHousingUnit_OwnerOccupied_SelectedMonthlyOwnerCosts","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",587,"Median Cost of Housing Unit (Selected Monthly Owner Costs): Without Mortgage"
"zip/90007","","90007","Median_Cost_HousingUnit_WithoutMortgage_OccupiedHousingUnit_OwnerOccupied_SelectedMonthlyOwnerCosts","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",514,"Median Cost of Housing Unit (Selected Monthly Owner Costs): Without Mortgage"
"zip/90008","","90008","Median_Cost_HousingUnit_WithoutMortgage_OccupiedHousingUnit_OwnerOccupied_SelectedMonthlyOwnerCosts","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",541,"Median Cost of Housing Unit (Selected Monthly Owner Costs): Without Mortgage"
"zip/90010","","90010","Median_Cost_HousingUnit_WithoutMortgage_OccupiedHousingUnit_OwnerOccupied_SelectedMonthlyOwnerCosts","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",1500,"Median Cost of Housing Unit (Selected Monthly Owner Costs): Without Mortgage"
"zip/90011","","90011","Median_Cost_HousingUnit_WithoutMortgage_OccupiedHousingUnit_OwnerOccupied_SelectedMonthlyOwnerCosts","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",531,"Median Cost of Housing Unit (Selected Monthly Owner Costs): Without Mortgage"
"zip/90012","","90012","Median_Cost_HousingUnit_WithoutMortgage_OccupiedHousingUnit_OwnerOccupied_SelectedMonthlyOwnerCosts","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",678,"Median Cost of Housing Unit (Selected Monthly Owner Costs): Without Mortgage"
"zip/90013","","90013","Median_Cost_HousingUnit_WithoutMortgage_OccupiedHousingUnit_OwnerOccupied_SelectedMonthlyOwnerCosts","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",748,"Median Cost of Housing Unit (Selected Monthly Owner Costs): Without Mortgage"
"zip/90015","","90015","Median_Cost_HousingUnit_WithoutMortgage_OccupiedHousingUnit_OwnerOccupied_SelectedMonthlyOwnerCosts","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",1195,"Median Cost of Housing Unit (Selected Monthly Owner Costs): Without Mortgage"
"zip/90016","","90016","Median_Cost_HousingUnit_WithoutMortgage_OccupiedHousingUnit_OwnerOccupied_SelectedMonthlyOwnerCosts","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",573,"Median Cost of Housing Unit (Selected Monthly Owner Costs): Without Mortgage"
"zip/90017","","90017","Median_Cost_HousingUnit_WithoutMortgage_OccupiedHousingUnit_OwnerOccupied_SelectedMonthlyOwnerCosts","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",1258,"Median Cost of Housing Unit (Selected Monthly Owner Costs): Without Mortgage"
"zip/90018","","90018","Median_Cost_HousingUnit_WithoutMortgage_OccupiedHousingUnit_OwnerOccupied_SelectedMonthlyOwnerCosts","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",544,"Median Cost of Housing Unit (Selected Monthly Owner Costs): Without Mortgage"
"zip/90019","","90019","Median_Cost_HousingUnit_WithoutMortgage_OccupiedHousingUnit_OwnerOccupied_SelectedMonthlyOwnerCosts","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",710,"Median Cost of Housing Unit (Selected Monthly Owner Costs): Without Mortgage"
"zip/90020","","90020","Median_Cost_HousingUnit_WithoutMortgage_OccupiedHousingUnit_OwnerOccupied_SelectedMonthlyOwnerCosts","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",922,"Median Cost of Housing Unit (Selected Monthly Owner Costs): Without Mortgage"
"zip/90022","","90022","Median_Cost_HousingUnit_WithoutMortgage_OccupiedHousingUnit_OwnerOccupied_SelectedMonthlyOwnerCosts","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",403,"Median Cost of Housing Unit (Selected Monthly Owner Costs): Without Mortgage"
"zip/90023","","90023","Median_Cost_HousingUnit_WithoutMortgage_OccupiedHousingUnit_OwnerOccupied_SelectedMonthlyOwnerCosts","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",438,"Median Cost of Housing Unit (Selected Monthly Owner Costs): Without Mortgage"
"zip/90024","","90024","Median_Cost_HousingUnit_WithoutMortgage_OccupiedHousingUnit_OwnerOccupied_SelectedMonthlyOwnerCosts","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",1487,"Median Cost of Housing Unit (Selected Monthly Owner Costs): Without Mortgage"
"zip/90025","","90025","Median_Cost_HousingUnit_WithoutMortgage_OccupiedHousingUnit_OwnerOccupied_SelectedMonthlyOwnerCosts","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",1017,"Median Cost of Housing Unit (Selected Monthly Owner Costs): Without Mortgage"
"zip/90026","","90026","Median_Cost_HousingUnit_WithoutMortgage_OccupiedHousingUnit_OwnerOccupied_SelectedMonthlyOwnerCosts","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",599,"Median Cost of Housing Unit (Selected Monthly Owner Costs): Without Mortgage"
"zip/90027","","90027","Median_Cost_HousingUnit_WithoutMortgage_OccupiedHousingUnit_OwnerOccupied_SelectedMonthlyOwnerCosts","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",878,"Median Cost of Housing Unit (Selected Monthly Owner Costs): Without Mortgage"
"zip/90028","","90028","Median_Cost_HousingUnit_WithoutMortgage_OccupiedHousingUnit_OwnerOccupied_SelectedMonthlyOwnerCosts","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",1008,"Median Cost of Housing Unit (Selected Monthly Owner Costs): Without Mortgage"
"zip/90029","","90029","Median_Cost_HousingUnit_WithoutMortgage_OccupiedHousingUnit_OwnerOccupied_SelectedMonthlyOwnerCosts","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",641,"Median Cost of Housing Unit (Selected Monthly Owner Costs): Without Mortgage"
"zip/90031","","90031","Median_Cost_HousingUnit_WithoutMortgage_OccupiedHousingUnit_OwnerOccupied_SelectedMonthlyOwnerCosts","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",486,"Median Cost of Housing Unit (Selected Monthly Owner Costs): Without Mortgage"
"zip/90032","","90032","Median_Cost_HousingUnit_WithoutMortgage_OccupiedHousingUnit_OwnerOccupied_SelectedMonthlyOwnerCosts","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",461,"Median Cost of Housing Unit (Selected Monthly Owner Costs): Without Mortgage"
"zip/90033","","90033","Median_Cost_HousingUnit_WithoutMortgage_OccupiedHousingUnit_OwnerOccupied_SelectedMonthlyOwnerCosts","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",410,"Median Cost of Housing Unit (Selected Monthly Owner Costs): Without Mortgage"
"zip/90034","","90034","Median_Cost_HousingUnit_WithoutMortgage_OccupiedHousingUnit_OwnerOccupied_SelectedMonthlyOwnerCosts","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",639,"Median Cost of Housing Unit (Selected Monthly Owner Costs): Without Mortgage"
"zip/90035","","90035","Median_Cost_HousingUnit_WithoutMortgage_OccupiedHousingUnit_OwnerOccupied_SelectedMonthlyOwnerCosts","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",836,"Median Cost of Housing Unit (Selected Monthly Owner Costs): Without Mortgage"
"zip/90036","","90036","Median_Cost_HousingUnit_WithoutMortgage_OccupiedHousingUnit_OwnerOccupied_SelectedMonthlyOwnerCosts","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",938,"Median Cost of Housing Unit (Selected Monthly Owner Costs): Without Mortgage"
