"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"zip/90001","","90001","Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",425200,"Median Home Value of Housing Unit: Occupied Housing Unit, Owner Occupied"
"zip/90002","","90002","Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",411500,"Median Home Value of Housing Unit: Occupied Housing Unit, Owner Occupied"
"zip/90003","","90003","Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",430800,"Median Home Value of Housing Unit: Occupied Housing Unit, Owner Occupied"
"zip/90004","","90004","Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",1148400,"Median Home Value of Housing Unit: Occupied Housing Unit, Owner Occupied"
"zip/90005","","90005","Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",964700,"Median Home Value of Housing Unit: Occupied Housing Unit, Owner Occupied"
"zip/90006","","90006","Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",716900,"Median Home Value of Housing Unit: Occupied Housing Unit, Owner Occupied"
"zip/90007","","90007","Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",717300,"Median Home Value of Housing Unit: Occupied Housing Unit, Owner Occupied"
"zip/90008","","90008","Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",781600,"Median Home Value of Housing Unit: Occupied Housing Unit, Owner Occupied"
"zip/90010","","90010","Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",822100,"Median Home Value of Housing Unit: Occupied Housing Unit, Owner Occupied"
"zip/90011","","90011","Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",452100,"Median Home Value of Housing Unit: Occupied Housing Unit, Owner Occupied"
"zip/90012","","90012","Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",633000,"Median Home Value of Housing Unit: Occupied Housing Unit, Owner Occupied"
"zip/90013","","90013","Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",664800,"Median Home Value of Housing Unit: Occupied Housing Unit, Owner Occupied"
"zip/90014","","90014","Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",625000,"Median Home Value of Housing Unit: Occupied Housing Unit, Owner Occupied"
"zip/90015","","90015","Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",715000,"Median Home Value of Housing Unit: Occupied Housing Unit, Owner Occupied"
"zip/90016","","90016","Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",677500,"Median Home Value of Housing Unit: Occupied Housing Unit, Owner Occupied"
"zip/90017","","90017","Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",697100,"Median Home Value of Housing Unit: Occupied Housing Unit, Owner Occupied"
"zip/90018","","90018","Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",704300,"Median Home Value of Housing Unit: Occupied Housing Unit, Owner Occupied"
"zip/90019","","90019","Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",1033900,"Median Home Value of Housing Unit: Occupied Housing Unit, Owner Occupied"
"zip/90020","","90020","Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",650300,"Median Home Value of Housing Unit: Occupied Housing Unit, Owner Occupied"
"zip/90021","","90021","Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",1013900,"Median Home Value of Housing Unit: Occupied Housing Unit, Owner Occupied"
"zip/90022","","90022","Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",471000,"Median Home Value of Housing Unit: Occupied Housing Unit, Owner Occupied"
