ZIP,DATE,DISASTER
90201,2025,Fire
90220,2025,Fire
90221,2025,Fire
90222,2025,Fire
90223,2025,Fire
90224,2025,Fire
90239,2025,Fire
90240,2025,Fire
90241,2025,Fire
90242,2025,Fire
90247,2025,Fire
90248,2025,Fire
90249,2025,Fire
90250,2025,Fire
90251,2025,Fire
90260,2025,Fire
90261,2025,Fire
90262,2025,Fire
90263,2025,Fire
90264,2025,Fire
90265,2025,Fire
90270,2025,Fire
90290,2025,Fire
90291,2025,Fire
90294,2025,Fire
90301,2025,Fire
90302,2025,Fire
90303,2025,Fire
90304,2025,Fire
90305,2025,Fire
90306,2025,Fire
90307,2025,Fire
90308,2025,Fire
90309,2025,Fire
90310,2025,Fire
90311,2025,Fire
90312,2025,Fire
90313,2025,Fire
90397,2025,Fire
90398,2025,Fire
90501,2025,Fire
90502,2025,Fire
90503,2025,Fire
90504,2025,Fire
90505,2025,Fire
90506,2025,Fire
90507,2025,Fire
90508,2025,Fire
90509,2025,Fire
90510,2025,Fire
90601,2025,Fire
90602,2025,Fire
90603,2025,Fire
90604,2025,Fire
90605,2025,Fire
90606,2025,Fire
90607,2025,Fire
90608,2025,Fire
90609,2025,Fire
90610,2025,Fire
90612,2025,Fire
90640,2025,Fire
90650,2025,Fire
90651,2025,Fire
90652,2025,Fire
90659,2025,Fire
90701,2025,Fire
90702,2025,Fire
90703,2025,Fire
90704,2025,Fire
90706,2025,Fire
90707,2025,Fire
90711,2025,Fire
90712,2025,Fire
90713,2025,Fire
90714,2025,Fire
90715,2025,Fire
90717,2025,Fire
90723,2025,Fire
90744,2025,Fire
90745,2025,Fire
90746,2025,Fire
90747,2025,Fire
90748,2025,Fire
90749,2025,Fire
90895,2025,Fire
91001,2025,Fire
91003,2025,Fire
91006,2025,Fire
91007,2025,Fire
91009,2025,Fire
91010,2025,Fire
91016,2025,Fire
91017,2025,Fire
91020,2025,Fire
91021,2025,Fire
91040,2025,Fire
91041,2025,Fire
91042,2025,Fire
91043,2025,Fire
91066,2025,Fire
91077,2025,Fire
91101,2025,Fire
91102,2025,Fire
91103,2025,Fire
91104,2025,Fire
91105,2025,Fire
91106,2025,Fire
91107,2025,Fire
91109,2025,Fire
91110,2025,Fire
