ZIP,Median_Income_ACSST5Y2017,Median_Income_ACSST5Y2018,Median_Income_ACSST5Y2019,Median_Income_ACSST5Y2020,Median_Income_ACSST5Y2021,Median_Income_ACSST5Y2022,Median_Income_ACSST5Y2023
90001,35660.0,38521,43360,48011,52806,57698,60751
90002,34000.0,35410,37285,42245,46159,54221,56158
90003,34397.0,37226,40598,42220,47733,51275,54781
90004,46581.0,48754,49675,52775,54947,58420,62655
90005,32461.0,35149,38491,42398,44913,49226,52755
90006,33790.0,35411,37072,37375,41068,47599,49847
90007,23070.0,25226,27406,30530,33222,36326,36032
90008,36641.0,39907,43364,47230,49379,57880,61822
90011,33824.0,36954,40940,44616,47126,51819,53781
90012,38786.0,42275,47027,49905,53278,58444,67635
90013,22808.0,21676,22316,21175,22291,24853,32848
90014,37619.0,35857,40641,36429,31332,26550,33822
90015,32979.0,39016,43890,48743,53062,61959,63211
90016,43443.0,46680,48715,49958,53659,63090,71067
90017,28638.0,31423,35605,36870,44607,46626,51317
90018,37341.0,41768,45984,49644,55275,58987,63671
90019,50671.0,52625,56389,58313,61616,65972,71395
90020,42407.0,46504,49068,50207,51013,55321,55832
90021,12864.0,15149,21635,21625,25364,29659,32250
90022,41276.0,43366,46051,51183,57464,65142,67829
90023,40225.0,41308,42972,45991,48293,52918,56623
90024,59418.0,63306,65855,63344,67422,74852,79994
90025,78713.0,83655,87280,97791,100453,103511,104627
90026,54342.0,60820,65269,67435,70436,80549,85835
90027,58344.0,64091,66947,71651,78356,86826,90532
90028,40068.0,43998,45499,50253,52814,57258,59393
90029,37379.0,39562,41998,45004,50822,56529,60793
90031,41126.0,44343,48479,51076,53319,59889,62119
90032,47370.0,50989,57225,59723,65761,76608,81563
90033,31683.0,35548,38266,43646,49734,50616,56001
90034,65572.0,71295,75714,80773,88490,97511,103082
90035,76677.0,79534,89337,99367,101570,110520,108224
90036,74279.0,80998,80539,84315,87868,97583,102877
90037,31045.0,33856,35424,37945,45128,52238,56417
90038,36996.0,39984,47116,48786,51096,57102,61566
90039,81394.0,86031,90538,88104,99226,108338,105578
90040,43585.0,46532,47120,54567,56948,62083,70909
90041,73250.0,80547,85971,90461,95811,111938,111834
90042,55596.0,59746,64267,73152,81853,89168,94401
90043,41812.0,47500,54729,56285,60599,63990,65496
90044,32278.0,34311,35981,39434,43388,48386,51433
90045,90399.0,96812,104578,110535,115943,125692,132577
90046,65990.0,67667,72266,72457,77162,87339,94259
90047,42551.0,47477,52605,58830,62399,67018,70187
90048,85396.0,95197,100586,93583,102567,102244,104227
90049,121671.0,127658,129688,133032,143000,161605,169898
90056,84438.0,86100,92656,84387,105744,123457,127252
90057,31337.0,33861,37700,41748,43796,46513,44876
90058,16425.0,20982,21964,27708,33146,34093,36680
90059,37653.0,41995,44838,44839,47682,50939,53840
90061,37126.0,39739,42500,47468,50427,56837,60114
90062,40018.0,44835,49443,52661,56500,61422,63652
