,ZIP,Avg_Percentage_2017_2023,Avg_Change_2017_2023,Total_Change_2017_2023
0,90001,45.857142857142854,-2.733333333333333,-16.4
1,90002,45.857142857142854,-2.733333333333333,-16.4
2,90003,45.857142857142854,-2.733333333333333,-16.4
3,90004,45.857142857142854,-2.733333333333333,-16.4
4,90005,45.857142857142854,-2.733333333333333,-16.4
5,90006,45.857142857142854,-2.733333333333333,-16.4
6,90007,45.857142857142854,-2.733333333333333,-16.4
7,90008,45.857142857142854,-2.733333333333333,-16.4
8,90009,45.857142857142854,-2.733333333333333,-16.4
9,90010,45.857142857142854,-2.733333333333333,-16.4
10,90011,45.857142857142854,-2.733333333333333,-16.4
11,90012,45.857142857142854,-2.733333333333333,-16.4
12,90013,45.857142857142854,-2.733333333333333,-16.4
13,90014,45.857142857142854,-2.733333333333333,-16.4
14,90015,45.857142857142854,-2.733333333333333,-16.4
15,90016,45.857142857142854,-2.733333333333333,-16.4
16,90017,45.857142857142854,-2.733333333333333,-16.4
17,90018,45.857142857142854,-2.733333333333333,-16.4
18,90019,45.857142857142854,-2.733333333333333,-16.4
19,90020,45.857142857142854,-2.733333333333333,-16.4
20,90021,45.857142857142854,-2.733333333333333,-16.4
21,90022,45.857142857142854,-2.733333333333333,-16.4
22,90023,45.857142857142854,-2.733333333333333,-16.4
23,90024,45.857142857142854,-2.733333333333333,-16.4
24,90025,45.857142857142854,-2.733333333333333,-16.4
25,90026,45.857142857142854,-2.733333333333333,-16.4
26,90027,45.857142857142854,-2.733333333333333,-16.4
27,90028,45.857142857142854,-2.733333333333333,-16.4
28,90029,45.857142857142854,-2.733333333333333,-16.4
29,90030,45.857142857142854,-2.733333333333333,-16.4
30,90031,45.857142857142854,-2.733333333333333,-16.4
31,90032,45.857142857142854,-2.733333333333333,-16.4
32,90033,45.857142857142854,-2.733333333333333,-16.4
33,90034,45.857142857142854,-2.733333333333333,-16.4
34,90035,45.857142857142854,-2.733333333333333,-16.4
35,90036,45.857142857142854,-2.733333333333333,-16.4
36,90037,45.857142857142854,-2.733333333333333,-16.4
37,90038,45.857142857142854,-2.733333333333333,-16.4
38,90039,45.857142857142854,-2.733333333333333,-16.4
39,90040,45.857142857142854,-2.733333333333333,-16.4
40,90041,45.857142857142854,-2.733333333333333,-16.4
41,90042,45.857142857142854,-2.733333333333333,-16.4
42,90043,45.857142857142854,-2.733333333333333,-16.4
43,90044,45.857142857142854,-2.733333333333333,-16.4
44,90045,45.857142857142854,-2.733333333333333,-16.4
45,90046,45.857142857142854,-2.733333333333333,-16.4
46,90047,45.857142857142854,-2.733333333333333,-16.4
47,90048,45.857142857142854,-2.733333333333333,-16.4
48,90049,45.857142857142854,-2.733333333333333,-16.4
49,90050,45.857142857142854,-2.733333333333333,-16.4
50,90051,45.857142857142854,-2.733333333333333,-16.4
51,90052,45.857142857142854,-2.733333333333333,-16.4
52,90053,45.857142857142854,-2.733333333333333,-16.4
53,90054,45.857142857142854,-2.733333333333333,-16.4
54,90055,45.857142857142854,-2.733333333333333,-16.4
55,90056,45.857142857142854,-2.733333333333333,-16.4
56,90057,45.857142857142854,-2.733333333333333,-16.4
57,90058,45.857142857142854,-2.733333333333333,-16.4
58,90059,45.857142857142854,-2.733333333333333,-16.4
59,90060,45.857142857142854,-2.733333333333333,-16.4
60,90061,45.857142857142854,-2.733333333333333,-16.4
61,90062,45.857142857142854,-2.733333333333333,-16.4
62,90063,45.857142857142854,-2.733333333333333,-16.4
63,90064,45.857142857142854,-2.733333333333333,-16.4
